100 kDa ileum brush border membrane protei	3.4.17.21
Epidermal retinol dehydrogenase	1.1.1.105
Epidermal TGas	2.3.2.13
Epidermal type-II transmembrane serine proteas	3.4.21.-
Epidermin decarboxylas	4.1.1.-
Epidermin leader peptide-processing serine protease epi	3.4.21.-
Epidermin-modifying enzyme epi	4.1.1.-
Epidermis-specific serine protease-like protei	3.4.21.-
Epidermis-type lipoxygenase 1	1.13.11.-
Epidermis-type lipoxygenase	1.13.11.-
Epidermolytic toxin	3.4.21.-
Epididymal secretory glutathione peroxidas	1.11.1.9
Epididymial metalloproteinase-like, disintegrin-like, and cysteine-rich protein I	3.4.24.-
Epididymis-specific alpha-mannosidas	3.2.1.24
Epididymis-specific gene 615 protei	3.1.1.1
Epididymis-specific glutathione peroxidase-like protei	1.11.1.9
Epi-isozizaene synthas	4.2.3.37
Epilysi	3.4.24.-
Epi p	3.4.21.-
Epithelial and endothelial tyrosine kinas	2.7.10.2
Epithelial cell kinas	2.7.10.1
Epithelial discoidin domain-containing receptor	2.7.10.1
Epithelial discoidin domain receptor	2.7.10.1
Epitheliasi	3.4.21.-
Epithi	3.4.21.109
Epothilone epoxidas	1.14.-.-
Epoxide hydratas	3.3.2.10
Epoxide hydratas	3.3.2.9
Epoxide hydrolas	3.3.2.10
Epoxide hydrolase	3.3.-.-
Epoxide hydrolase	3.3.2.10
Epoxide hydrolase	3.3.2.9
Epoxide hydrolase-related protei	3.3.-.-
Epoxyalkane:CoM transferas	4.4.1.23
E protei	3.4.23.-
Epsilon-crystalli	1.1.1.27
Epsilon-trimethyllysine 2-oxoglutarate dioxygenas	1.14.11.8
Epsilon-trimethyllysine hydroxylas	1.14.11.8
EPS I polysaccharide export protein eps	2.7.10.-
EPSP	2.5.1.19
EPSP	4.2.3.4
EPSPS	2.5.1.19
EPSP synthas	2.5.1.19
EPSP synthas	4.2.3.4
EPSP synthase	2.5.1.19
EPT	2.5.1.7
Eptacog alf	3.4.21.21
EPTC-inducible aldehyde dehydrogenas	1.2.1.3
EQ-BCH	3.1.1.8
ER	2.7.10.1
ERAD-associated E3 ubiquitin-protein ligase doa1	6.3.2.-
ERAD-associated E3 ubiquitin-protein ligase DOA1	6.3.2.-
ERAD-associated E3 ubiquitin-protein ligase hrd	6.3.2.-
ERAD-associated E3 ubiquitin-protein ligase HRD	6.3.2.-
ER alpha-1,2-mannosidas	3.2.1.113
ERBB4 intracellular domai	2.7.10.1
ERCC2 homolo	3.6.4.12
ERCC3D	3.6.4.12
ERCC3 homolog	3.6.4.12
ERCC-3 homolog protei	3.6.4.12
ERCC5 homolo	3.1.-.-
eRF1 methyltransferase catalytic subunit mtq	2.1.1.-
eRF1 methyltransferase catalytic subunit MTQ	2.1.1.-
eRF1 MTase catalytic subunit mtq	2.1.1.-
eRF1 MTase catalytic subunit MTQ	2.1.1.-
ERG-associated protein with SET domai	2.1.1.43
Ergosterol biosynthesis protein 1	2.3.1.9
Ergosterol Delta(5,6) desaturas	1.3.3.-
Ergosterol Delta(5,6) desaturase	1.3.3.-
ERI1 exoribonuclease	3.1.-.-
Eri-1 homolo	3.1.-.-
ERIC	3.4.22.-
ERK-	2.7.11.24
ERK	2.7.11.24
ERK activator kinase	2.7.12.2
ErmA	2.1.1.48
ERMan	3.2.1.113
ER mannosidase	3.2.1.113
E(rns) glycoprotei	3.4.22.-
ERO1-	1.8.4.-
ERO1-L-alph	1.8.4.-
ERO1-L-bet	1.8.4.-
Ero1-like protei	1.8.4.-
ERO1-like protein	1.8.4.-
ERO1-like protein alph	1.8.4.-
ERO1-like protein bet	1.8.4.-
ERp1	1.8.4.2
ERp3	5.3.4.1
ERp	5.3.4.1
ERp5	5.3.4.1
ERp6	5.3.4.1
ERP6	5.3.4.1
ERp-72 homolo	5.3.4.1
ERp-7	5.3.4.1
ERp7	5.3.4.1
ER protein 1	1.8.4.2
ER protein	5.3.4.1
ER protein 5	5.3.4.1
ER protein 6	5.3.4.1
ER protein 7	5.3.4.1
Error-prone DNA polymeras	2.7.7.7
Error-prone DNA polymerase	2.7.7.7
ERT	2.7.11.24
ERT D	4.1.1.15
ER-UDPas	3.6.1.6
ERV-	3.4.22.-
Ervatamin-	3.4.22.-
ery	3.4.24.-
Erythomycin A biosynthesis hydrolas	1.14.-.-
Erythroblast NAD(P)(+)--arginine ADP-ribosyltransferas	2.4.2.31
Erythrocyte 65 kDa protei	2.7.11.1
Erythrocyte AMP deaminas	3.5.4.6
Erythrodihydroneopterin triphosphate synthetas	6.-.-.-
Erythroid cell-specific 15-lipoxygenas	1.13.11.33
Erythromycin B/D C-12 hydroxylas	1.14.-.-
Erythromycin esterase type	3.1.1.-
Erythromycin esterase type I	3.1.1.-
Erythromycin resistance protei	2.1.1.48
Erythronate-4-phosphate dehydrogenas	1.1.1.290
Erythronolide synthase, modules 1 and	2.3.1.94
Erythronolide synthase, modules 3 and	2.3.1.94
Erythronolide synthase, modules 5 and	2.3.1.94
Es-2	3.1.1.1
ES	2.7.12.1
ES-	3.1.1.1
ES cell phosphatas	3.1.3.48
ESE	2.1.1.43
ES-HTE	3.1.1.1
ES-HVE	3.1.1.1
ESK	2.7.11.30
ES-mal	3.1.1.1
ESO1 homolog	2.3.1.-
Esophageal cancer-susceptibility gene 1 protei	3.4.21.-
ESP-	3.4.21.-
Essential for respiration and vegetative growth protein	1.8.3.2
Essential meiotic endonuclease	3.1.22.-
Essential PCL1-interacting ATPase	3.6.-.-
EST1-like protein	3.1.-.-
EST-	2.8.2.4
Est-	3.1.1.1
Est	3.1.1.73
Est-5	3.1.1.1
Establishment factor-like protein	2.3.1.-
Establishment of cohesion 1 homolo	2.3.1.-
Establishment of cohesion 1 homolog	2.3.1.-
Establishment of cohesion protein	2.3.1.-
Esteras	3.1.1.-
Esteras	3.4.21.-
Esterase 1	3.1.2.12
Esterase-2	3.1.1.1
Esterase-	3.1.1.1
Esterase	3.1.1.1
Esterase	3.1.1.73
Esterase	3.1.2.12
Esterase-3	3.1.1.1
Esterase	3.4.21.35
Esterase 52 kDa subuni	3.1.1.1
Esterase-5	3.1.1.1
Esterase 56 kDa subuni	3.1.1.1
Esterase B	3.1.1.1
Esterase CM06B	3.1.1.1
Esterase E	3.1.1.1
Esterase est	3.1.1.-
Esterase est	3.1.1.1
Esterase FE	3.1.1.1
Esterase frs	3.1.-.-
Esterase I	3.1.1.1
Esterase PIR7	3.1.-.-
Esterase SG	3.1.1.1
Esterase ybd	3.1.-.-
Esterase ybf	3.1.-.-
Esterase ydi	3.1.-.-
Esterase yjf	3.1.-.-
Esterase ypf	3.1.-.-
Esterase yqi	3.1.-.-
Ester hydrolase C11orf5	3.1.-.-
Ester hydrolase C11orf54 homolo	3.1.-.-
ES-THE	3.1.1.1
Estradiol 17 beta-dehydrogenase	1.1.1.-
Estradiol 17-beta-dehydrogenase 1	1.1.1.-
Estradiol 17-beta-dehydrogenase 1	1.1.1.62
Estradiol 17-beta-dehydrogenase	1.1.1.270
Estradiol 17-beta-dehydrogenase	1.1.1.62
Estradiol 17-beta-dehydrogenase 12-	1.1.1.62
Estrogen-binding protei	1.6.99.1
Estrogen-induced tag	1.14.11.-
Estrogen receptor-binding cyclophili	5.2.1.8
Estrogen-regulated transcript 45 protei	3.1.13.1
Estrogen-responsive element-associated gene 1 protei	3.6.1.13
Estrogen-responsive finger protei	6.3.2.19
Estrogen sulfotransferas	2.8.2.4
Estrogen sulfotransferase, isoform	2.8.2.4
Estrogen sulfotransferase, testis isofor	2.8.2.4
Estrogen synthas	1.14.14.1
Estrone sulfotransferas	2.8.2.4
ET	2.7.10.2
Eta	2.7.7.7
ETA-crystalli	1.2.1.3
ETEC autotransporter	3.4.21.-
ETF dehydrogenas	1.5.5.1
ETF-Q	1.5.5.1
ETF-ubiquinone oxidoreductas	1.5.5.1
Ethanolamine ammonia-lyase heavy chai	4.3.1.7
Ethanolamine ammonia-lyase large subuni	4.3.1.7
Ethanolamine ammonia-lyase light chai	4.3.1.7
Ethanolamine ammonia-lyase small subuni	4.3.1.7
Ethanolamine kinas	2.7.1.32
Ethanolamine kinas	2.7.1.82
Ethanolamine kinase	2.7.1.82
Ethanolamine kinase bet	2.7.1.32
Ethanolamine kinase-like protei	2.7.1.82
Ethanolamine-phosphate cytidylyltransferas	2.7.7.14
Ethanolaminephosphotransferase	2.7.8.1
Ethanolamine utilization cobalamin adenosyltransferas	2.5.1.17
Ethanolamine utilization protein eut	1.1.-.-
Ethanol hexanoyl transferase	2.3.1.84
Ethanol tolerance protein GEKO	3.1.-.-
ETHP	2.7.8.1
Ethylene-forming enzym	1.13.-.-
Ethylene-forming enzym	1.14.17.4
Ethylene-overproduction protein	4.4.1.14
Ethylene recepto	2.7.13.3
Ethylene receptor	2.7.11.-
Ethylene receptor	2.7.13.3
Ethylene response sensor	2.7.11.-
Ethylene response sensor	2.7.13.3
Ethyl ester biosynthesis protein	2.3.1.84
Ethylmalonic encephalopathy protein 1 homolo	3.-.-.-
Ethylmalonic encephalopathy protein	3.-.-.-
Etk	2.7.11.1
Etk2/tyro	2.7.10.1
Etl-	3.6.4.12
ETS1-associated protein	3.1.4.-
ETS1-associated protein I	3.1.4.-
Euchromatic histone-lysine N-methyltransferase	2.1.1.43
Eugenol O-methyltransferas	2.1.1.146
Eugenol synthase	1.-.-.-
Eu-HMTase	2.1.1.43
Eukaryotic elongation factor 2 kinas	2.7.11.20
Eukaryotic initiation factor 4	3.6.4.13
Eukaryotic initiation factor 4A-1	3.6.4.13
Eukaryotic initiation factor 4A-	3.6.4.13
Eukaryotic initiation factor 4A-I	3.6.4.13
Eukaryotic initiation factor 4A-II	3.6.4.13
Eukaryotic initiation factor 4A-III-	3.6.4.13
Eukaryotic initiation factor 4A-like NUK-3	3.6.4.13
Eukaryotic translation initiation factor 2-alpha kinas	2.7.11.1
Eukaryotic translation initiation factor 2-alpha kinase	2.7.11.1
Eukaryotic translation initiation factor 2C	3.1.26.n2
Eukaryotic translation initiation factor 4A isoform 3-	3.6.4.13
Eukaryotic translation initiation factor 4A isoform 3	3.6.4.13
Eukaryotic translation initiation factor 4A isoform	3.6.4.13
Eukaryotic translation initiation factor 4A-related sequence	3.6.4.13
EULI	6.3.2.-
Eur m	3.4.21.-
Eur m	3.4.22.65
Ever shorter telomeres 1	3.1.-.-
Ever shorter telomeres protein	2.7.7.-
Evolutionary related interleukin-1-beta-converting enzym	3.4.22.-
Evolved beta-galactosidase subunit alph	3.2.1.23
Excinuclease ch	3.1.25.-
Executioner caspas	3.4.22.-
Exfoliative toxin	3.4.21.-
Exo-1,3-beta-glucanas	3.2.1.58
Exo-1,3-beta-glucanase	3.2.1.58
Exo-1,3-beta-glucanase I/I	3.2.1.58
Exo-(1-->4)-beta-D-galactanas	3.2.1.23
Exo-1,4-beta-xylosidase bxl	3.2.1.37
Exo-1,4-beta-xylosidase xln	3.2.1.37
Exo-1,6-alpha-glucosidas	3.2.1.70
EXO	3.1.-.-
Exo	3.1.11.-
Exo-alpha-galactosidase	3.2.1.n1
Exo-alpha-galactosidase B	3.2.1.n1
Exo-beta 1,3 glucanas	3.2.1.58
Exo-beta-(1,4)-xylanas	3.2.1.37
Exo-beta-D-fructosidas	3.2.1.80
Exo-beta-D-glucosaminidas	3.2.1.-
Exo-beta-N-acetylglucosaminidase lyt	3.2.1.-
Exocellobiohydrolas	3.2.1.4
Exocellobiohydrolas	3.2.1.91
Exocellobiohydrolase	3.2.1.91
Exocellobiohydrolase 6	3.2.1.91
Exocellobiohydrolase I	3.2.1.91
Exochitinase	3.2.1.14
Exochitosanas	3.2.1.-
Exodeoxyribonucleas	3.1.11.1
Exodeoxyribonucleas	3.1.11.2
Exodeoxyribonucleas	3.1.11.3
Exodeoxyribonuclease 1	3.1.11.-
Exodeoxyribonuclease	3.1.-.-
Exodeoxyribonuclease	3.1.11.-
Exodeoxyribonuclease	3.1.11.1
Exodeoxyribonuclease 7 large subuni	3.1.11.6
Exodeoxyribonuclease 7 small subuni	3.1.11.6
Exodeoxyribonuclease II	3.1.11.2
Exodeoxyribonuclease V 125 kDa polypeptid	3.1.11.5
Exodeoxyribonuclease V 135 kDa polypeptid	3.1.11.5
Exodeoxyribonuclease V 67 kDa polypeptid	3.1.11.5
Exodeoxyribonuclease V alpha chai	3.1.11.5
Exodeoxyribonuclease V beta chai	3.1.11.5
Exodeoxyribonuclease V gamma chai	3.1.11.5
Exodeoxyribonuclease VII	3.1.11.-
Exodeoxyribonuclease VII large subuni	3.1.11.6
Exodeoxyribonuclease VII small subuni	3.1.11.6
Exoenzyme	2.4.2.-
Exoenzyme C	2.4.2.-
Exoglucanas	3.2.1.4
Exoglucanas	3.2.1.91
Exoglucanase-	3.2.1.91
Exoglucanase	3.2.1.91
Exoglucanase-6	3.2.1.91
Exoglucanase I	3.2.1.91
Exoglucanase/xylanas	3.2.1.91
Exoglucanase xyn	3.2.1.91
Exo-glucosaminidase lyt	3.2.1.-
Exo I	3.1.11.-
ExoI	3.1.11.-
EXO II	3.1.11.2
Exo-isomaltohydrolas	3.2.1.94
Exo-levanas	3.2.1.80
Exo-maltohexaohydrolas	3.2.1.98
Exo-maltotetraohydrolas	3.2.1.60
Exomuramidas	4.2.2.n1
Exonucleas	3.1.11.3
Exonuclease	3.1.-.-
Exonuclease	3.1.11.-
Exonuclease	3.1.11.1
Exonuclease 3'-5' domain-containing protein	3.1.-.-
Exonuclease 3'-5' domain-containing protein 3 homolo	3.1.-.-
Exonuclease domain-containing protein	3.1.-.-
Exonuclease GO	3.1.-.-
Exonuclease I	3.1.11.-
Exonuclease II	3.1.11.2
Exonuclease Rex	3.6.4.12
Exonuclease subunit	3.1.11.-
Exonuclease VII large subuni	3.1.11.6
Exonuclease VII small subuni	3.1.11.6
Exonuclease XPMC	3.1.-.-
ExoP	3.2.1.67
Exo-P	3.2.1.82
ExoP	4.2.2.9
Exo-poly-alpha-D-galacturonosidas	3.2.1.82
Exopolygalacturonas	3.2.1.67
Exopolygalacturonase	3.2.1.67
Exopolygalacturonase clone GBGA48	3.2.1.67
Exopolygalacturonase clone GBGE18	3.2.1.67
Exopolygalacturonase X-	3.2.1.67
Exopolygalacturonate lyas	4.2.2.9
ExopolyPas	3.6.1.11
Exopolyphosphatas	3.1.3.5
Exopolyphosphatas	3.6.1.10
Exopolyphosphatas	3.6.1.11
Exopolysaccharide phosphotransferase cps2	2.7.-.-
Exopolysaccharide phosphotransferase cps	2.7.-.-
Exopolysaccharide phosphotransferase NFA_4868	2.7.-.-
Exopolysaccharide phosphotransferase SCO259	2.7.-.-
Exopolysaccharide phosphotransferase SCO602	2.7.-.-
Exoprotease Vc	3.4.24.3
Exorhamnogalacturonase	3.2.1.67
Exoribonuclease	3.1.13.-
Exoribonuclease	3.1.13.1
Exoribonuclease I	3.1.13.1
Exoribonuclease II, mitochondria	3.1.13.1
Exosome complex exonuclease dis	3.1.13.-
Exosome complex exonuclease DIS	3.1.13.-
Exosome complex exonuclease MTR	3.1.13.-
Exosome complex exonuclease rrp	3.1.13.-
Exosome complex exonuclease RRP	3.1.13.-
Exosome complex exonuclease RRP4	3.1.13.-
Exosome component	3.1.13.-
Exostosin-1	2.4.1.224
Exostosin-	2.4.1.223
Exostosin-	2.4.1.224
Exostosin-like	2.4.1.223
Exostosin-like	2.4.1.224
Exotoxin	2.4.2.-
Exotoxin translocation ATP-binding protein pax	3.6.3.43
Exotoxin type	3.4.22.10
EXO VII	3.1.11.-
Expandas	1.14.20.1
Experimental autoimmune prostatitis antigen	2.3.2.13
Exported protein	1.1.3.21
Exported protein	3.6.3.-
Exported protein	3.6.4.13
Expression site-associated protein	4.6.1.1
Extended-spectrum beta-lactamase PER-	3.5.2.6
External NADH dehydrogenase	1.6.5.3
External NADH-ubiquinone oxidoreductase 1, mitochondria	1.6.5.3
External NADH-ubiquinone oxidoreductase 2, mitochondria	1.6.5.3
Extracellular 3HB-oligomer hydrolas	3.1.1.22
Extracellular agaras	3.2.1.81
Extracellular alpha-antige	2.3.1.-
Extracellular 'barrier' protei	3.4.23.35
Extracellular basic proteas	3.4.21.-
Extracellular CGPas	3.4.15.6
Extracellular cyanophycinas	3.4.15.6
Extracellular cysteine proteas	3.4.22.-
Extracellular deoxyribonucleas	3.1.21.-
Extracellular elastas	3.4.24.-
Extracellular elastinolytic metalloproteinas	3.4.24.-
Extracellular endonucleas	3.1.21.-
Extracellular esterase est	3.1.1.3
Extracellular glutathione peroxidas	1.11.1.9
Extracellular guanyl-specific ribonuclease Fl	3.1.27.3
Extracellular lipas	3.1.1.-
Extracellular lipas	3.1.1.3
Extracellular lipase	3.1.1.-
Extracellular lipase AP	3.1.1.-
Extracellular lipase At1g0699	3.1.1.-
Extracellular lipase At1g0939	3.1.1.-
Extracellular lipase At1g1812	3.1.1.-
Extracellular lipase At1g2012	3.1.1.-
Extracellular lipase At1g2350	3.1.1.-
Extracellular lipase At1g2857	3.1.1.-
Extracellular lipase At1g2858	3.1.1.-
Extracellular lipase At1g2859	3.1.1.-
Extracellular lipase At1g2860	3.1.1.-
Extracellular lipase At1g2861	3.1.1.-
Extracellular lipase At1g2864	3.1.1.-
Extracellular lipase At1g2865	3.1.1.-
Extracellular lipase At1g2866	3.1.1.-
Extracellular lipase At1g2867	3.1.1.-
Extracellular lipase At1g2966	3.1.1.-
Extracellular lipase At1g2967	3.1.1.-
Extracellular lipase At1g3155	3.1.1.-
Extracellular lipase At1g3381	3.1.1.-
Extracellular lipase At1g5400	3.1.1.-
Extracellular lipase At1g5401	3.1.1.-
Extracellular lipase At1g5402	3.1.1.-
Extracellular lipase At1g5403	3.1.1.-
Extracellular lipase At1g5479	3.1.1.-
Extracellular lipase At1g5843	3.1.1.-
Extracellular lipase At1g5848	3.1.1.-
Extracellular lipase At1g5872	3.1.1.-
Extracellular lipase At1g59030/At1g5940	3.1.1.-
Extracellular lipase At1g7125	3.1.1.-
Extracellular lipase At1g7169	3.1.1.-
Extracellular lipase At1g7361	3.1.1.-
Extracellular lipase At1g7446	3.1.1.-
Extracellular lipase At2g0398	3.1.1.-
Extracellular lipase At2g0402	3.1.1.-
Extracellular lipase At2g0457	3.1.1.-
Extracellular lipase At2g1901	3.1.1.-
Extracellular lipase At2g1905	3.1.1.-
Extracellular lipase At2g1906	3.1.1.-
Extracellular lipase At2g2354	3.1.1.-
Extracellular lipase At2g2456	3.1.1.-
Extracellular lipase At2g2736	3.1.1.-
Extracellular lipase At2g3022	3.1.1.-
Extracellular lipase At2g3031	3.1.1.-
Extracellular lipase At2g3154	3.1.1.-
Extracellular lipase At2g3155	3.1.1.-
Extracellular lipase At2g3632	3.1.1.-
Extracellular lipase At2g3818	3.1.1.-
Extracellular lipase At2g4025	3.1.1.-
Extracellular lipase At2g4299	3.1.1.-
Extracellular lipase At3g0518	3.1.1.-
Extracellular lipase At3g0993	3.1.1.-
Extracellular lipase At3g1422	3.1.1.-
Extracellular lipase At3g1482	3.1.1.-
Extracellular lipase At3g2643	3.1.1.-
Extracellular lipase At3g2795	3.1.1.-
Extracellular lipase At3g4355	3.1.1.-
Extracellular lipase At3g4357	3.1.1.-
Extracellular lipase At3g4846	3.1.1.-
Extracellular lipase At3g5040	3.1.1.-
Extracellular lipase At3g5310	3.1.1.-
Extracellular lipase At3g6228	3.1.1.-
Extracellular lipase At4g0113	3.1.1.-
Extracellular lipase At4g1622	3.1.1.-
Extracellular lipase At4g1623	3.1.1.-
Extracellular lipase At4g1897	3.1.1.-
Extracellular lipase At4g2679	3.1.1.-
Extracellular lipase At4g2878	3.1.1.-
Extracellular lipase At4g3014	3.1.1.-
Extracellular lipase At5g0359	3.1.1.-
Extracellular lipase At5g0361	3.1.1.-
Extracellular lipase At5g0381	3.1.1.-
Extracellular lipase At5g0382	3.1.1.-
Extracellular lipase At5g0398	3.1.1.-
Extracellular lipase At5g0846	3.1.1.-
Extracellular lipase At5g1445	3.1.1.-
Extracellular lipase At5g1843	3.1.1.-
Extracellular lipase At5g2281	3.1.1.-
Extracellular lipase At5g3337	3.1.1.-
Extracellular lipase At5g3769	3.1.1.-
Extracellular lipase At5g4217	3.1.1.-
Extracellular lipase At5g4567	3.1.1.-
Extracellular lipase At5g4591	3.1.1.-
Extracellular lipase At5g4595	3.1.1.-
Extracellular lipase At5g4596	3.1.1.-
Extracellular lipase At5g5505	3.1.1.-
Extracellular lipase At5g6317	3.1.1.-
Extracellular lipase CPRD4	3.1.1.-
Extracellular lipase ESM	3.1.1.-
Extracellular lipase LIP-	3.1.1.-
Extracellular lipase LTL	3.1.1.-
Extracellular lysophospholipase	3.1.4.39
Extracellular matrix protein 3	2.1.2.11
Extracellular metalloproteas	3.4.21.-
Extracellular metalloproteas	3.4.24.-
Extracellular metalloproteas	3.4.24.77
Extracellular metalloproteinas	3.4.24.40
Extracellular metalloproteinase	3.4.24.-
Extracellular minor metalloproteas	3.4.24.-
Extracellular mutant protein 1	1.8.1.2
Extracellular mutant protein 1	2.3.1.-
Extracellular mutant protein 1	3.4.17.-
Extracellular mutant protein 1	3.6.4.13
Extracellular mutant protein	2.5.1.18
Extracellular mutant protein 3	2.3.2.2
Extracellular mutant protein 3	2.4.1.-
Extracellular mutant protein 3	3.6.4.13
Extracellular mutant protein 4	2.3.1.35
Extracellular phospholipase	3.1.-.-
Extracellular phospholipase A	3.1.1.32
Extracellular proteas	3.4.21.-
Extracellular proteas	3.4.24.-
Extracellular-regulated kinase	2.7.11.24
Extracellular ribonucleas	3.1.-.-
Extracellular ribonuclease L	3.1.27.1
Extracellular serine proteas	3.4.21.-
Extracellular serine protease plasmid-encoded esp	3.4.21.-
Extracellular serine proteinas	3.4.21.-
Extracellular signal-regulated kinase	2.7.11.24
Extracellular small neutral proteas	3.4.24.77
Extracellular subtilisin-like proteas	3.4.21.-
Extracellular sucras	3.2.1.26
Extracellular sulfatase SULF-1 homolo	3.1.6.-
Extracellular sulfatase Sulf-	3.1.6.-
Extracellular superoxide dismutase [Cu-Zn]	1.15.1.1
Extracellular superoxide dismutase [Cu-Zn	1.15.1.1
Extra spindle poles-like 1 protei	3.4.22.49
Extra sporogenous cells protei	2.7.11.1
EXT-related protein	2.4.1.223
Eye-PK	2.7.11.13
Eyes absent homolog	3.1.3.48
Eye-specific diacylglycerol kinas	2.7.1.107
E(z) homolo	2.1.1.43
F	1.3.5.1
F	1.5.1.30
F	1.8.2.-
F	2.7.11.26
F	3.1.1.4
F3	1.14.11.9
F	3.4.21.84
F3'5'	1.14.13.88
F	3.6.4.-
F3GalTas	2.4.1.234
F3-S	2.8.2.-
F420-0:gamma-glutamyl ligas	6.3.2.-
F420-dependent methylenetetrahydromethanopterin dehydrogenas	1.5.99.9
F420-dependent NADP reductas	1.-.-.-
F420-non-reducing hydrogenase iron-sulfur subunit	1.12.99.-
F420-non-reducing hydrogenase subunit	1.12.99.-
F420-non-reducing hydrogenase vhc iron-sulfur subunit	1.12.99.-
F420-non-reducing hydrogenase vhc subunit	1.12.99.-
F420-non-reducing hydrogenase vhu iron-sulfur subunit	1.12.99.-
F420-non-reducing hydrogenase vhu subunit	1.12.99.-
F4-S	2.8.2.-
F5	1.14.-.-
F	5.2.1.8
FA	3.7.1.2
Fa	4.3.-.-
FAAP25	3.6.4.13
FAAP4	6.3.2.-
FABP-	2.6.1.1
FABPp	2.6.1.1
FACE-	3.4.22.-
FACE-	3.4.24.84
Factor	2.7.11.26
Factor	3.6.1.15
Factor essential for expression of methicillin resistance	2.3.2.-
Factor-induced gene 4 protei	3.1.3.-
Factor inhibiting HIF-	1.14.11.16
Factor seven-activating proteas	3.4.21.-
Factor V-activating enzym	3.4.21.-
Factor V-activating proteinase alph	3.4.21.95
Factor V-activating proteinase gamm	3.4.21.95
Factor VII-activating proteas	3.4.21.-
Factor VII heavy chai	3.4.21.21
Factor VII light chai	3.4.21.21
Factor X-activator 1 heavy chai	3.4.24.-
Factor X heavy chai	3.4.21.6
Factor X light chai	3.4.21.6
FAD	1.14.19.-
FAD-AMP lyase (cyclic FMN forming	2.7.1.29
FAD-AMP lyase (cyclizing	2.7.1.29
FAD-dependent cmnm(5)s(2)U34 oxidoreductas	2.1.1.-
FAD-dependent oxidoreductase FRD	1.3.1.6
FAD-dependent sulfhydryl oxidase-	1.8.3.2
FADD-homologous ICE/ced-3-like proteas	3.4.22.61
FAD diphosphatas	3.6.1.-
FADD-like IC	3.4.22.61
FADK	2.7.10.2
FAD-linked oxidoreductase DDB_G028969	1.-.-.-
FAD-linked sulfhydryl oxidas	1.8.3.2
FAD-linked sulfhydryl oxidase AL	1.8.3.2
FAD-linked sulfhydryl oxidase erv	1.8.3.2
FAD-linked sulfhydryl oxidase ERV	1.8.3.2
FAD-oxidoreductas	1.1.3.10
FAD pyrophosphorylas	2.7.1.26
FAD pyrophosphorylas	2.7.7.2
FAD synthas	2.7.1.26
FAD synthas	2.7.7.2
FAD synthase regio	2.7.7.2
FAE-	3.1.1.73
FAE	3.1.1.73
FAEB-	3.1.1.73
FAEE synthas	3.1.1.1
FAE-II	3.1.1.73
FALD	1.1.1.1
FALD	1.1.1.284
FALD	1.2.1.46
FALDH	1.1.1.284
Falko	1.14.11.-
F Alloantige	1.13.11.27
False p73 target gene protei	2.1.1.-
Familial intrahepatic cholestasis type	3.6.3.1
Family II extracellular lipase	3.1.1.-
Family II lipase EXL	3.1.1.-
Family of serine hydrolases	3.1.-.-
FancM homolog protein	3.6.4.12
FancM homolog protein	3.6.4.13
Fanconi anemia-associated polypeptide of 250 kD	3.6.4.13
Fanconi anemia-associated polypeptide of 43 kD	6.3.2.-
Fanconi anemia group J protei	3.6.4.13
Fanconi anemia group J protein homolo	3.6.4.13
Fanconi anemia group L protei	6.3.2.-
Fanconi anemia group L protein homolo	6.3.2.-
Fanconi anemia group M protei	3.6.4.13
Fanconi anemia group M protein homolo	3.6.4.13
F-antigen homolo	1.13.11.27
FAP-	3.1.3.48
fAP	3.4.11.2
Fapy-DNA glycosylas	3.2.2.23
Farnesylated proteins-converting enzyme	3.4.22.-
Farnesylated proteins-converting enzyme	3.4.24.84
Farnesyl cysteine carboxyl methyltransferas	2.1.1.100
Farnesyl-diphosphate farnesyltransferas	2.5.1.21
Farnesyl diphosphate synthas	2.5.1.1
Farnesyl-diphosphate synthas	2.5.1.10
Farnesyl diphosphate synthase	2.5.1.1
Farnesyl pyrophosphate synthas	2.5.1.1
Farnesyl pyrophosphate synthase 1, mitochondria	2.5.1.1
Farnesyl pyrophosphate synthase	2.5.1.1
Farnesyltrans	2.5.1.1
Farnesyltranstrans	2.5.1.1
Farnesyltranstransferas	2.5.1.-
Farnesyltranstransferas	2.5.1.1
Farnesyltranstransferas	2.5.1.29
FAS	4.1.2.25
Fas-activated serine/threonine kinas	2.7.11.8
FAS-associated death domain protein interleukin-1B-converting enzyme	3.4.22.63
Fas-associated protein-tyrosine phosphatase	3.1.3.48
Fas-interacting serine/threonine-protein kinas	2.7.11.1
Fast catalas	1.11.1.6
FAST kinas	2.7.11.8
Fast-migrating protei	2.3.1.12
Fat facets in mammal	3.4.19.12
Fat facets protein-related, X-linke	3.4.19.12
Fat facets protein-related, Y-linke	3.4.19.12
Fat mass and obesity-associated protei	1.14.11.-
FATP-	6.2.1.-
FATP-	6.2.1.7
F-ATPase subunit alph	3.6.3.14
F-ATPase subunit alpha 1/	3.6.3.14
F-ATPase subunit alpha	3.6.3.14
F-ATPase subunit bet	3.6.3.14
F-ATPase subunit beta	3.6.3.14
Fatty acid 2-hydroxylas	1.-.-.-
Fatty acid activator	6.2.1.3
Fatty acid alpha-hydroxylas	1.-.-.-
Fatty-acid amide hydrolase 2-	3.5.1.99
Fatty-acid amide hydrolase	3.5.1.99
Fatty acid beta-hydroxylas	1.14.-.-
Fatty acid-binding protei	2.6.1.1
