(+)-abscisic acid 8'-hydroxylase	1.14.13.93
N-acetylglucosaminyldiphosphoundecaprenolN-acetyl-beta-D-mannosaminyltransferase	2.4.1.187
N-acetylhexosamine 1-dehydrogenase	1.1.1.240
N-acetylhexosamine 1-kinase	2.7.1.162
N-acetyllactosamine synthase	2.4.1.90
N-acetyllactosaminide 3-alpha-galactosyltransferase	2.4.1.87
N-acetyllactosaminide alpha-2,3-sialyltransferase	2.4.99.6
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase	2.4.1.149
N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase	2.4.1.150
N-acetylmuramoyl-L-alanine amidase	3.5.1.28
N-acetylneuraminate 4-O-acetyltransferase	2.3.1.44
N-acetylneuraminate 7-O(or 9-O)-acetyltransferase	2.3.1.45
N-acetylneuraminate lyase	4.1.3.3
N-acetylneuraminate synthase	2.5.1.56
N-acetylneuraminylgalactosylglucosylceramidebeta-1,4-N-acetylgalactosaminyltransferase	2.4.1.165
N-acetylornithine carbamoyltransferase	2.1.3.9
N-acylhexosamine oxidase	1.1.3.29
N-acylmannosamine 1-dehydrogenase	1.1.1.233
N-acylmannosamine kinase	2.7.1.60
N-acylneuraminate cytidylyltransferase	2.7.7.43
N-acylneuraminate-9-phosphatase	3.1.3.29
N-acylneuraminate-9-phosphate synthase	2.5.1.57
N-acylsphingosine galactosyltransferase	2.4.1.47
N-benzoyl-4-hydroxyanthranilate 4-O-methyltransferase	2.1.1.105
N-benzyloxycarbonylglycine hydrolase	3.5.1.58
N-carbamoyl-D-amino-acid hydrolase	3.5.1.77
N-carbamoyl-L-amino-acid hydrolase	3.5.1.87
N-carbamoylputrescine amidase	3.5.1.53
N-carbamoylsarcosine amidase	3.5.1.59
N-feruloylglycine deacylase	3.5.1.71
N-formylglutamate deformylase	3.5.1.68
N-formylmethionylaminoacyl-tRNA deformylase	3.5.1.27
N-hydroxy-2-acetamidofluorene reductase	1.7.1.12
N-hydroxyarylamine O-acetyltransferase	2.3.1.118
N-hydroxythioamide S-beta-glucosyltransferase	2.4.1.195
N-isopropylammelide isopropylaminohydrolase	3.5.99.4
N-malonylurea hydrolase	3.5.1.95
N-methyl nucleosidase	3.2.2.25
N-methyl-2-oxoglutaramate hydrolase	3.5.1.36
N-methyl-L-amino-acid oxidase	1.5.3.2
N-methylalanine dehydrogenase	1.4.1.17
N-methylcoclaurine 3'-monooxygenase	1.14.13.71
N-methylhydantoinase (ATP-hydrolysing)	3.5.2.14
N-methylphosphoethanolamine cytidylyltransferase	2.7.7.57
N-substituted formamide deformylase	3.5.1.91
N-succinylarginine dihydrolase	3.5.3.23
N-succinylornithine carbamoyltransferase	2.1.3.11
N-sulfoglucosamine sulfohydrolase	3.10.1.1
N-sulfoglucosamine-3-sulfatase	3.1.6.15
N1-acetylpolyamine oxidase	1.5.3.B5 (preliminary BRENDA-supplied EC number)
N2-(2-carboxyethyl)arginine synthase	2.5.1.66
N4-(beta-N-acetylglucosaminyl)-L-asparaginase	3.5.1.26
N5-(carboxyethyl)ornithine synthase	1.5.1.24
N6-acetyl-beta-lysine transaminase	2.6.1.65
N6-hydroxylysine O-acetyltransferase	2.3.1.102
N6-methyl-lysine oxidase	1.5.3.4
N8-acetylspermidine oxidase (propane-1,3-diamine-forming)	1.5.3.B3 (preliminary BRENDA-supplied EC number)
NAD kinase	2.7.1.B1 (preliminary BRENDA-supplied EC number)
NAD(P)+ nucleosidase	3.2.2.6
NAD(P)+ transhydrogenase (AB-specific)	1.6.1.2
NAD(P)+ transhydrogenase (B-specific)	1.6.1.1
NAD(P)H dehydrogenase (quinone)	1.6.5.2 ()
NAD(P)H oxidase	1.6.3.1
NAD+ ADP-ribosyltransferase	2.4.2.30
NAD+ diphosphatase	3.6.1.22
NAD+ kinase	2.7.1.23
NAD+ nucleosidase	3.2.2.5
NAD+ synthase	6.3.1.5
NAD+ synthase (glutamine-hydrolysing)	6.3.5.1
NAD+-dinitrogen-reductase ADP-D-ribosyltransferase	2.4.2.37
NAD+-diphthamide ADP-ribosyltransferase	2.4.2.36
NAD+-protein-arginine ADP-ribosyltransferase	2.4.2.31
NADH dehydrogenase	1.6.99.3
NADH dehydrogenase (quinone)	1.6.99.5
NADH dehydrogenase (ubiquinone)	1.6.5.3
NADH kinase	2.7.1.86
NADH peroxidase	1.11.1.1
NADP-retinol dehydrogenase	1.1.1.B5 (preliminary BRENDA-supplied EC number. The enzyme is distinct from EC 1.1.1.105 since it is specific for NADPH as a cofactor)
NADPH dehydrogenase	1.6.99.1
NADPH dehydrogenase (quinone)	1.6.99.6
NADPH peroxidase	1.11.1.2
NADPH-cytochrome-c2 reductase	1.6.2.5
NADPH-hemoprotein reductase	1.6.2.4
NADPH:quinone reductase	1.6.5.5
NDP-glucose-starch glucosyltransferase	2.4.1.242
NMN nucleosidase	3.2.2.14
Na+-exporting ATPase	3.6.3.7
Na+-transporting two-sector ATPase	3.6.3.15
Na+/K+-exchanging ATPase	3.6.3.9
Nalpha-benzyloxycarbonylleucine hydrolase	3.5.1.64
Nitrate reductase [NAD(P)H]	1.7.1.2
Nocardicin-A epimerase	5.1.1.14
O-acetylhomoserine aminocarboxypropyltransferase	2.5.1.49
O-demethylpuromycin O-methyltransferase	2.1.1.38
O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	2.4.1.222
O-phosphoserine sulfhydrylase	2.5.1.65
O-phosphoseryl-tRNA ligase	6.1.1.B2 (preliminary BRENDA-supplied EC number)
O-sialoglycoprotein endopeptidase	3.4.24.57
O-succinylbenzoate-CoA ligase	6.2.1.26
O-succinylbenzoate-CoA ligase (ADP-forming)	6.2.1.B1 (preliminary BRENDA-supplied EC number)
OPC-8:CoA ligase	6.2.1.B3 (preliminary BRENDA-supplied EC number)
Oleate hydratase	4.2.1.53
Oligopeptidase B	3.4.21.83
Opine dehydrogenase	1.5.1.28
Oplophorus-luciferin 2-monooxygenase	1.13.12.13
Ornithine decarboxylase	4.1.1.17
Ornithine racemase	5.1.1.12
Orotidine-5'-phosphate decarboxylase	4.1.1.23
Orsellinate decarboxylase	4.1.1.58
Oryzin	3.4.21.63
Oxalate decarboxylase	4.1.1.2
Oxalate-CoA ligase	6.2.1.8
Oxaloacetate decarboxylase	4.1.1.3
Oxalomalate lyase	4.1.3.13
Oxalyl-CoA decarboxylase	4.1.1.8
PACE4 proprotein convertase	3.4.21.B25 (preliminary BRENDA-supplied EC number)
PHEX peptidase	3.4.24.B15 (preliminary BRENDA-supplied EC number)
Pancreatic elastase II	3.4.21.71
Pancreatic endopeptidase E	3.4.21.70
Pantoate-beta-alanine ligase	6.3.2.1
Penicillopepsin	3.4.23.20
PepB aminopeptidase	3.4.11.23
Peptidyl-dipeptidase B	3.4.15.4
Peptidyl-dipeptidase Dcp	3.4.15.5
Peptidylprolyl isomerase	5.2.1.8
PfpI endopeptidase	3.4.22.B20 (preliminary BRENDA-supplied EC number)
Phenylalanine decarboxylase	4.1.1.53
Phenylalanine racemase (ATP-hydrolysing)	5.1.1.11
Phenylalanine-tRNA ligase	6.1.1.20
Phenylpyruvate decarboxylase	4.1.1.43
Phenylpyruvate tautomerase	5.3.2.1
Phenylserine aldolase	4.1.2.26
Phosphoketolase	4.1.2.9
Photinus-luciferin 4-monooxygenase (ATP-hydrolysing)	1.13.12.7
Phthalyl amidase	3.5.1.79
Physarum polycephalum ribonuclease	3.1.26.1
Phytanate-CoA ligase	6.2.1.24
Phytepsin	3.4.23.40
Platelet-activating factor acetyltransferase	2.3.1.149
Polyporopepsin	3.4.23.29
Precorrin-2 C20-methyltransferase	2.1.1.130
Precorrin-3B C17-methyltransferase	2.1.1.131
Precorrin-4 C11-methyltransferase	2.1.1.133
Precorrin-6Y C5,15-methyltransferase (decarboxylating)	2.1.1.132
Precorrin-8X methylmutase	5.4.1.2
Pro-opiomelanocortin converting enzyme	3.4.23.17
Proline racemase	5.1.1.4
Proline-tRNA ligase	6.1.1.15
Propionate-CoA ligase	6.2.1.17
Propionyl-CoA carboxylase	6.4.1.3
Proprotein convertase 1	3.4.21.93
Prostaglandin-D synthase	5.3.99.2
Protein C (activated)	3.4.21.69
Protein disulfide-isomerase	5.3.4.1
Protein-serine epimerase	5.1.1.16
Protoaphin-aglucone dehydratase (cyclizing)	4.2.1.73
Protocatechuate decarboxylase	4.1.1.63
Protopine 6-monooxygenase	1.14.13.55
Pseudomonas cytochrome oxidase	1.9.3.2 (Transferred to EC 1.7.2.1, nitrite reductase (NO-forming))
Pycnoporopepsin	3.4.23.30
Pyrazolylalanine synthase	4.2.1.50
Pyruvate carboxylase	6.4.1.1
Pyruvate decarboxylase	4.1.1.1
Quinaldate 4-oxidoreductase	1.3.99.18
Quinoline 2-oxidoreductase	1.3.99.17
Quinoline-4-carboxylate 2-oxidoreductase	1.3.99.19
R-linalool synthase	4.2.3.26
R-specific spore photoproduct lyase	4.1.99.B3 (preliminary BRENDA-supplied EC number)
RCE1	3.4.99.B1 (preliminary BRENDA-supplied EC number)
RNA helicase	3.6.4.B3 (preliminary BRENDA-supplied EC number)
RNA ligase (ATP)	6.5.1.3
RNA uridylyltransferase	2.7.7.52
RNA-3'-phosphate cyclase	6.5.1.4
RNA-directed DNA polymerase	2.7.7.49
RNA-directed RNA polymerase	2.7.7.48
Renilla-luciferin 2-monooxygenase	1.13.12.5
Renilla-luciferin sulfotransferase	2.8.2.10
Repressor LexA	3.4.21.88
Retinal isomerase	5.2.1.3
Retinol isomerase	5.2.1.7
Rhamnulose-1-phosphate aldolase	4.1.2.19
Rhizopuspepsin	3.4.23.21
Rhodotorulapepsin	3.4.23.26
Ribonuclease V	3.1.27.8
Ribose isomerase	5.3.1.20
Ribose-5-phosphate isomerase	5.3.1.6
Ribose-5-phosphate-ammonia ligase	6.3.4.7
Ribulose-bisphosphate carboxylase	4.1.1.39
Ribulose-phosphate 3-epimerase	5.1.3.1
Rous sarcoma virus retropepsin	3.4.23.B10 (preliminary BRENDA-supplied EC number)
S-(hydroxymethyl)glutathione dehydrogenase	1.1.1.284
S-(hydroxymethyl)glutathione synthase	4.4.1.22
S-adenosylhomocysteine deaminase	3.5.4.28
S-alkylcysteine lyase	4.4.1.6
S-carboxymethylcysteine synthase	4.5.1.5
S-formylglutathione hydrolase	3.1.2.12
S-linalool synthase	4.2.3.25
S-methyl-5'-thioadenosine phosphorylase	2.4.2.28
S-methyl-5-thioribose kinase	2.7.1.100
S-methyl-5-thioribose-1-phosphate isomerase	5.3.1.23
S-ribosylhomocysteine lyase	4.4.1.21
S-specific spore photoproduct lyase	4.1.99.B1 (preliminary BRENDA-supplied EC number)
S-succinylglutathione hydrolase	3.1.2.13
S2P endopeptidase	3.4.24.85
SARS coronavirus main proteinase	3.4.22.B16 (preliminary BRENDA-supplied EC number)
Saccharopepsin	3.4.23.25
Salutaridinol 7-O-acetyltransferase	2.3.1.150
Scutelarin	3.4.21.60
Scytalidopepsin A	3.4.23.31
Scytalidopepsin B	3.4.23.32
Serine-tRNA ligase	6.1.1.11
Serratia marcescens nuclease	3.1.30.2
Signal peptidase I	3.4.21.89
Signal peptidase II	3.4.23.36
Simian immunodeficiency virus proteinase	3.4.23.B2 (preliminary BRENDA-supplied EC number)
Snake venom factor V activator	3.4.21.95
Sphinganine-1-phosphate aldolase	4.1.2.27
SpoIVB peptidase	3.4.21.116
Ste24 endopeptidase	3.4.24.84
Stem bromelain	3.4.22.32
Stipitatonate decarboxylase	4.1.1.60
Streptogrisin A	3.4.21.80
Streptogrisin B	3.4.21.81
Strombine dehydrogenase	1.5.1.22
Subtilisin	3.4.21.62
Succinate-CoA ligase (ADP-forming)	6.2.1.5
Sulfinoalanine decarboxylase	4.1.1.29
T2-induced deoxynucleotide kinase	2.7.4.12
Tagatose-bisphosphate aldolase	4.1.2.40
Tartrate epimerase	5.1.2.5
Tartronate-semialdehyde synthase	4.1.1.47
Tauropine dehydrogenase	1.5.1.23
Terephthalate 1,2-dioxygenase	1.14.12.15
Tetrahydroxypteridine cycloisomerase	5.5.1.3
Thermitase	3.4.21.66
Thermomycolin	3.4.21.65
Thiocyanate isomerase	5.99.1.1
Threonine aldolase	4.1.2.5
Threonine racemase	5.1.1.6
Threonine-tRNA ligase	6.1.1.3
Thromboxane-A synthase	5.3.99.5
Togavirin	3.4.21.90
Tpr proteinase (Porphyromonas gingivalis)	3.4.22.B8 (preliminary BRENDA-supplied EC number)
Triose-phosphate isomerase	5.3.1.1
Trypanothione synthase	6.3.1.9
Tryptase	3.4.21.59
Tryptophan-tRNA ligase	6.1.1.2
Tubulin-tyrosine ligase	6.3.2.25
Tyrosine decarboxylase	4.1.1.25
Tyrosine-tRNA ligase	6.1.1.1
UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase	5.1.3.23
UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose transaminase	2.6.1.34
UDP-D-GlcNAc3NA 3-N-acetyltransferase	2.3.1.B6 (preliminary BRENDA-supplied EC number)
UDP-N-acetylgalactosamine-4-sulfate sulfotransferase	2.8.2.7
UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7
UDP-N-acetylglucosamine 2-epimerase	5.1.3.14
UDP-N-acetylglucosamine 4,6-dehydratase (inverting)	4.2.1.115
UDP-N-acetylglucosamine 4-epimerase	5.1.3.7
UDP-N-acetylglucosamine 6-dehydrogenase	1.1.1.136
UDP-N-acetylglucosamine diphosphorylase	2.7.7.23
UDP-N-acetylglucosamine-dolichyl-phosphateN-acetylglucosaminephosphotransferase	2.7.8.15
UDP-N-acetylglucosamine-lysosomal-enzymeN-acetylglucosaminephosphotransferase	2.7.8.17
UDP-N-acetylmuramate dehydrogenase	1.1.1.158
UDP-N-acetylmuramate-L-alanine ligase	6.3.2.8
UDP-N-acetylmuramoyl-L-alanine-D-glutamate ligase	6.3.2.9
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-2,6-diaminopimelate ligase	6.3.2.13
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase	6.3.2.7
UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase	6.3.2.10
UDP-N-acetylmuramoylpentapeptide-lysine N6-alanyltransferase	2.3.2.10
UDP-arabinose 4-epimerase	5.1.3.5
UDP-galactopyranose mutase	5.4.99.9
UDP-galactose-UDP-N-acetylglucosamine galactose phosphotransferase	2.7.8.18
UDP-galacturonate decarboxylase	4.1.1.67
UDP-glucosamine 4-epimerase	5.1.3.16
UDP-glucose 4,6-dehydratase	4.2.1.76
UDP-glucose 4-epimerase	5.1.3.2
UDP-glucose 6-dehydrogenase	1.1.1.22
UDP-glucose-glycoprotein glucose phosphotransferase	2.7.8.19
UDP-glucose-hexose-1-phosphate uridylyltransferase	2.7.7.12
UDP-glucuronate 4-epimerase	5.1.3.6
UDP-glucuronate 5'-epimerase	5.1.3.12
UDP-glucuronate decarboxylase	4.1.1.35
UDP-sugar diphosphatase	3.6.1.45
UDP-sulfoquinovose synthase	3.13.1.1
UMP kinase	2.7.4.22
UTP-glucose-1-phosphate uridylyltransferase	2.7.7.9
UTP-hexose-1-phosphate uridylyltransferase	2.7.7.10
UTP-monosaccharide-1-phosphate uridylyltransferase	2.7.7.64
UTP-xylose-1-phosphate uridylyltransferase	2.7.7.11
Ubiquitin-protein ligase	6.3.2.19
Ulp1 peptidase	3.4.22.68 ()
UmuD protein	3.4.21.B30 (preliminary BRENDA-supplied EC number)
Uracil-5-carboxylate decarboxylase	4.1.1.66
Urea carboxylase	6.3.4.6
Urocanate hydratase	4.2.1.49
Uroporphyrinogen decarboxylase	4.1.1.37
V-cath endopeptidase	3.4.22.50
Valine-tRNA ligase	6.1.1.9
Venombin A	3.4.21.74
Venombin AB	3.4.21.55
Watasenia-luciferin 2-monooxygenase	1.13.12.8
Xaa-Arg dipeptidase	3.4.13.4
Xaa-His dipeptidase	3.4.13.3
Xaa-Pro aminopeptidase	3.4.11.9
Xaa-Pro dipeptidase	3.4.13.9
Xaa-Pro dipeptidyl-peptidase	3.4.14.11
Xaa-Trp aminopeptidase	3.4.11.16
Xaa-Xaa-Pro tripeptidyl-peptidase	3.4.14.12
Xaa-methyl-His dipeptidase	3.4.13.5
Xylose isomerase	5.3.1.5
YopJ protease	3.4.22.B19 (preliminary BRENDA-supplied EC number)
Z-farnesyl diphosphate synthase	2.5.1.68
Zinc D-Ala-D-Ala carboxypeptidase	3.4.17.14
Zn2+-exporting ATPase	3.6.3.5
[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase	2.7.11.4
[3-methyl-2-oxobutanoate dehydrogenase(2-methylpropanoyl-transferring)]-phosphatase	3.1.3.52
[Isocitrate dehydrogenase (NADP+)] kinase	2.7.11.5
[RNA-polymerase]-subunit kinase	2.7.11.23
[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase	2.4.1.229
[acetyl-CoA carboxylase] kinase	2.7.11.27
[acetyl-CoA carboxylase]-phosphatase	3.1.3.44
[acyl-carrier-protein] S-acetyltransferase	2.3.1.38
[acyl-carrier-protein] S-malonyltransferase	2.3.1.39
[acyl-carrier-protein] phosphodiesterase	3.1.4.14
[citrate (pro-3S)-lyase] ligase	6.2.1.22
[cytochrome c]-arginine N-methyltransferase	2.1.1.124
[cytochrome c]-lysine N-methyltransferase	2.1.1.59
[cytochrome-c]-methionine S-methyltransferase	2.1.1.123
[formate-C-acetyltransferase]-activating enzyme	1.97.1.4
[glutamate-ammonia-ligase] adenylyltransferase	2.7.7.42
[glycogen-synthase-D] phosphatase	3.1.3.42
[heparan sulfate]-glucosamine 3-sulfotransferase 1	2.8.2.23
[heparan sulfate]-glucosamine 3-sulfotransferase 2	2.8.2.29
[heparan sulfate]-glucosamine 3-sulfotransferase 3	2.8.2.30
[heparan sulfate]-glucosamine N-sulfotransferase	2.8.2.8
[histone-H3]-lysine-36 demethylase	1.14.11.27
[histone-H3]-lysine-4-demethylase	1.14.11.B1 (preliminary BRENDA-supplied EC number)
[histone-H3]-lysine-9-demethylase	1.14.11.B2 (preliminary BRENDA-supplied EC number)
[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase	2.7.11.31
[hydroxymethylglutaryl-CoA reductase (NADPH)]-phosphatase	3.1.3.47
[methionine synthase] reductase	1.16.1.8
[myelin basic protein]-arginine N-methyltransferase	2.1.1.126
[myelin-proteolipid] O-palmitoyltransferase	2.3.1.100
[myosin-light-chain] phosphatase	3.1.3.53
[phosphorylase] phosphatase	3.1.3.17
[protein ADP-ribosylarginine] hydrolase	3.2.2.19
[protein-PII] uridylyltransferase	2.7.7.59
[pyruvate dehydrogenase (acetyl-transferring)] kinase	2.7.11.2
[pyruvate dehydrogenase (acetyl-transferring)]-phosphatase	3.1.3.43
[pyruvate kinase]-phosphatase	3.1.3.49
[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase	2.1.1.127
[tyrosine 3-monooxygenase] kinase	2.7.11.6
abequosyltransferase	2.4.1.60
abietadienal dehydrogenase	1.2.1.74
abietadiene hydroxylase	1.14.13.108
abietadiene synthase	4.2.3.18
abietadienol hydroxylase	1.14.13.109
abscisic-aldehyde oxidase	1.2.3.14
acetaldehyde dehydrogenase (acetylating)	1.2.1.10
acetate CoA-transferase	2.8.3.8
acetate kinase	2.7.2.1
acetate kinase (diphosphate)	2.7.2.12
acetoacetyl-CoA hydrolase	3.1.2.11
acetoacetyl-CoA reductase	1.1.1.36
acetoin dehydrogenase	1.1.1.5
acetoin-ribose-5-phosphate transaldolase	2.2.1.4
acetolactate synthase	2.2.1.6
acetone carboxylase	6.4.1.6
acetoxybutynylbithiophene deacetylase	3.1.1.54
acetyl-CoA C-acetyltransferase	2.3.1.9
acetyl-CoA C-acyltransferase	2.3.1.16
acetyl-CoA C-myristoyltransferase	2.3.1.155
acetyl-CoA hydrolase	3.1.2.1
acetyl-S-ACP:malonate ACP transferase	2.3.1.187
acetylacetone-cleaving enzyme	1.13.11.50
acetylajmaline esterase	3.1.1.80
acetylcholinesterase	3.1.1.7
acetylcitrulline deacetylase	3.5.1.B4 (preliminary BRENDA-supplied EC number)
acetylene hydratase	4.2.1.112
acetylenecarboxylate hydratase	4.2.1.27
acetylenedicarboxylate decarboxylase	4.1.1.78
acetylesterase	3.1.1.6
acetylgalactosaminyl-O-glycosyl-glycoproteinbeta-1,3-N-acetylglucosaminyltransferase	2.4.1.147
acetylgalactosaminyl-O-glycosyl-glycoproteinbeta-1,6-N-acetylglucosaminyltransferase	2.4.1.148
acetylglutamate kinase	2.7.2.8
acetylindoxyl oxidase	1.7.3.2
acetylornithine deacetylase	3.5.1.16
acetylornithine transaminase	2.6.1.11
acetylputrescine deacetylase	3.5.1.62
acetylpyruvate hydrolase	3.7.1.6
acetylsalicylate deacetylase	3.1.1.55
acetylserotonin O-methyltransferase	2.1.1.4
acetylspermidine deacetylase	3.5.1.48
acid phosphatase	3.1.3.2
acireductone dioxygenase (Ni2+-requiring)	1.13.11.53
acireductone dioxygenase [iron(II)-requiring]	1.13.11.54
acireductone synthase	3.1.3.77
aconitate DELTA-isomerase	5.3.3.7
aconitate hydratase	4.2.1.3
acridone synthase	2.3.1.159
acrosin	3.4.21.10
actinidain	3.4.22.14
actinomycin lactonase	3.1.1.39
aculeacin-A deacylase	3.5.1.70
acyl-CoA dehydrogenase	1.3.99.3
acyl-CoA dehydrogenase (NADP+)	1.3.1.8
acyl-CoA hydrolase	3.1.2.20
acyl-CoA oxidase	1.3.3.6
acyl-[acyl-carrier-protein] desaturase	1.14.19.2
acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase	2.3.1.129
acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase	2.3.1.40
acyl-homoserine-lactone acylase	3.5.1.97 ()
acyl-homoserine-lactone synthase	2.3.1.184 ()
acyl-lysine deacylase	3.5.1.17
acyl-phosphate-hexose phosphotransferase	2.7.1.61
acylagmatine amidase	3.5.1.40
acylaminoacyl-peptidase	3.4.19.1
acylcarnitine hydrolase	3.1.1.28
acylglycerol kinase	2.7.1.94
acylglycerol lipase	3.1.1.23
acylglycerone-phosphate reductase	1.1.1.101
acyloxyacyl hydrolase	3.1.1.77
acylphosphatase	3.6.1.7
acylpyruvate hydrolase	3.7.1.5
adamalysin	3.4.24.46
adenain	3.4.22.39
adenine deaminase	3.5.4.2
adenine phosphoribosyltransferase	2.4.2.7
adenosine deaminase	3.5.4.4
adenosine kinase	2.7.1.20
adenosine nucleosidase	3.2.2.7
adenosine-phosphate deaminase	3.5.4.17
adenosine-tetraphosphatase	3.6.1.14
adenosinetriphosphatase	3.6.1.3
adenosyl-fluoride synthase	2.5.1.63
adenosylcobinamide hydrolase	3.5.1.90
adenosylcobinamide kinase	2.7.1.156
adenosylcobinamide-GDP ribazoletransferase	2.7.8.26
adenosylcobinamide-phosphate guanylyltransferase	2.7.7.62
adenosylcobinamide-phosphate synthase	6.3.1.10
adenosylcobyric acid synthase (glutamine-hydrolysing)	6.3.5.10
adenosylhomocysteinase	3.3.1.1
adenosylhomocysteine nucleosidase	3.2.2.9
adenosylmethionine cyclotransferase	2.5.1.4
adenosylmethionine decarboxylase	4.1.1.50
adenosylmethionine hydrolase	3.3.1.2
adenosylmethionine-8-amino-7-oxononanoate transaminase	2.6.1.62
adenylate cyclase	4.6.1.1
adenylate dimethylallyltransferase	2.5.1.27
adenylate kinase	2.7.4.3
adenylosuccinate lyase	4.3.2.2
adenylyl-[glutamate-ammonia ligase] hydrolase	3.1.4.15
adenylyl-sulfate kinase	2.7.1.25
adenylyl-sulfate reductase	1.8.99.2
adenylyl-sulfate reductase (glutathione)	1.8.4.9
adenylyl-sulfate reductase (thioredoxin)	1.8.4.10
adenylylsulfatase	3.6.2.1
adenylylsulfate-ammonia adenylyltransferase	2.7.7.51
aerobactin synthase	6.3.2.27
agaritine gamma-glutamyltransferase	2.3.2.9
agmatinase	3.5.3.11
agmatine N4-coumaroyltransferase	2.3.1.64
agmatine deiminase	3.5.3.12
agmatine kinase	2.7.3.10
alanine carboxypeptidase	3.4.17.6
alanine dehydrogenase	1.4.1.1
alanine transaminase	2.6.1.2
alanine-glyoxylate transaminase	2.6.1.44
alanine-oxo-acid transaminase	2.6.1.12
alanine-oxomalonate transaminase	2.6.1.47
alanylphosphatidylglycerol synthase	2.3.2.11
albendazole monooxygenase	1.14.13.32
alcohol O-acetyltransferase	2.3.1.84
alcohol dehydrogenase	1.1.1.1
alcohol dehydrogenase (NADP+)	1.1.1.2
alcohol dehydrogenase (acceptor)	1.1.99.8
alcohol dehydrogenase [NAD(P)+]	1.1.1.71
alcohol oxidase	1.1.3.13
alcohol sulfotransferase	2.8.2.2
aldehyde dehydrogenase (FAD-independent)	1.2.99.7
aldehyde dehydrogenase (NAD+)	1.2.1.3
aldehyde dehydrogenase (NADP+)	1.2.1.4
aldehyde dehydrogenase (pyrroloquinoline-quinone)	1.2.99.3
aldehyde dehydrogenase [NAD(P)+]	1.2.1.5
aldehyde ferredoxin oxidoreductase	1.2.7.5
aldehyde oxidase	1.2.3.1
aldehyde reductase	1.1.1.21
alditol oxidase	1.1.3.41
aldos-2-ulose dehydratase	4.2.1.110
aldose 1-dehydrogenase	1.1.1.121
aldose beta-D-fructosyltransferase	2.4.1.162
aldose-1-phosphate adenylyltransferase	2.7.7.36
aldose-1-phosphate nucleotidyltransferase	2.7.7.37
aldose-6-phosphate reductase (NADPH)	1.1.1.200
alginate synthase	2.4.1.33
aliphatic aldoxime dehydratase	4.99.1.5
alizarin 2-beta-glucosyltransferase	2.4.1.103
alkaline phosphatase	3.1.3.1
alkan-1-ol dehydrogenase (acceptor)	1.1.99.20
alkanal monooxygenase (FMN-linked)	1.14.14.3
alkane 1-monooxygenase	1.14.15.3
alkanesulfonate monooxygenase	1.14.14.5
alkene monooxygenase	1.14.13.69
alkenylglycerophosphocholine hydrolase	3.3.2.2
alkenylglycerophosphoethanolamine hydrolase	3.3.2.5
alkylacetylglycerophosphatase	3.1.3.59
alkylamidase	3.5.1.39
alkylglycerol kinase	2.7.1.93
alkylglycerone kinase	2.7.1.84
alkylglycerone-phosphate synthase	2.5.1.26
alkylglycerophosphate 2-O-acetyltransferase	2.3.1.105
alkylglycerophosphoethanolamine phosphodiesterase	3.1.4.39
alkylhalidase	3.8.1.1
alkylmercury lyase	4.99.1.2
all-trans-retinol 13,14-reductase	1.3.99.23
all-trans-retinyl-palmitate hydrolase	3.1.1.64
allantoate deiminase	3.5.3.9
allantoicase	3.5.3.4
allantoinase	3.5.2.5
alliin lyase	4.4.1.4
allophanate hydrolase	3.5.1.54
allose kinase	2.7.1.55
allyl-alcohol dehydrogenase	1.1.1.54
alpha,alpha-phosphotrehalase	3.2.1.93
alpha,alpha-trehalase	3.2.1.28
alpha,alpha-trehalose phosphorylase	2.4.1.64
alpha,alpha-trehalose phosphorylase (configuration-retaining)	2.4.1.231
alpha,alpha-trehalose synthase	2.4.1.245 ()
alpha,alpha-trehalose-phosphate synthase (GDP-forming)	2.4.1.36
alpha,alpha-trehalose-phosphate synthase (UDP-forming)	2.4.1.15
alpha-1,3-glucan synthase	2.4.1.183
alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	2.4.1.101
alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	2.4.1.145
alpha-1,4-glucan synthase	2.4.1.B3 (preliminary BRENDA-supplied EC number)
alpha-1,4-glucan-protein synthase (ADP-forming)	2.4.1.113
alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	2.4.1.143
alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	2.4.1.201
