1.1.1.198	(+)-borneol:NAD+ oxidoreductase
1.3.1.30	5alpha-pregnan-3,20-dione:NADP+ 5-oxidoreductase
1.3.1.3	5beta-cholestan-3-one:NADP+ 4,5-oxidoreductase
1.14.13.15	5beta-cholestane-3alpha,7alpha,12alpha-triol,NADPH:oxygenoxidoreductase (26-hydroxylating)
1.14.13.96	5beta-cholestane-3alpha,7alpha-diol,NADPH:oxygen oxidoreductase(12alpha-hydroxylating)
2.5.1.9	6,7-dimethyl-8-(1-D-ribityl)lumazine:67-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase
2.5.1.B6 (preliminary BRENDA-supplied EC number)	6,7-dimethyl-8-ribityllumazine:5-nitro-6-ribitylamino-2,4(1H3H)-pyrimidinedione (3S)-3,4-dihydroxy-2-butanone transferase
1.3.3.11	6-(2-amino-2-carboxyethyl)-7,8-dioxo-1,2,3,4,7,8-hexahydroquinoline-24-dicarboxylate:oxygen oxidoreductase (cyclizing)
3.1.4.51	6-(D-glucose-1-phospho)-D-mannosylglycoproteinglucose-1-phosphohydrolase
3.5.1.89	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositolacetylhydrolase
4.6.1.14	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol1,2-diacyl-sn-glycerol-lyase [6-(alpha-D-glucosaminyl)-1D-myo-inositol1,2-cyclic phosphate-forming]
6.2.1.14	6-Carboxyhexanoate:CoA ligase (AMP-forming)
3.2.1.127	6-L-fucosyl-N-acetyl-D-glucosaminylglycopeptide fucohydrolase
3.2.1.149	6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside6-O-(beta-D-xylosyl)-beta-D-glucohydrolase
2.6.1.65	6-acetamido-3-aminohexanoate:2-oxoglutarate aminotransferase
3.1.1.33	6-acetyl-D-glucose acetylhydrolase
3.2.1.11	6-alpha-D-glucan 6-glucanohydrolase
3.2.1.94	6-alpha-D-glucan isomaltohydrolase
3.2.1.95	6-alpha-D-glucan isomaltotriohydrolase
3.2.1.101	6-alpha-D-mannan mannanohydrolase
3.2.1.75	6-beta-D-glucan glucanohydrolase
2.3.1.47	6-carboxyhexanoyl-CoA:L-alanine C-carboxyhexanoyltransferase(decarboxylating)
1.1.1.241	6-endo-hydroxycineole:NAD+ 6-oxidoreductase
4.2.1.100	6-hydroxycyclohex-1-enecarbonyl-CoA hydro-lyase(cyclohexa-1,5-dienecarbonyl-CoA-forming)
1.1.1.258	6-hydroxyhexanoate:NAD+ oxidoreductase
1.17.3.3	6-hydroxynicotinate:O2 oxidoreductase
1.1.1.220	6-lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase
4.1.1.52	6-methylsalicylate carboxy-lyase (3-cresol-forming)
3.5.2.18	6-oxo-1,4,5,6-tetrahydronicotinate amidohydrolase
1.3.7.1	6-oxo-1,4,5,6-tetrahydronicotinate:ferredoxin oxidoreductase
1.14.13.51	6-oxocineole,NADPH:oxygen oxidoreductase
1.2.1.63	6-oxohexanoate:NADP+ oxidoreductase
4.2.1.12	6-phospho-D-gluconate hydro-lyase(2-dehydro-3-deoxy-6-phospho-D-gluconate-forming)
1.1.1.43	6-phospho-D-gluconate:NAD(P)+ 2-oxidoreductase
1.1.1.44	6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)
3.1.1.31	6-phospho-D-glucono-1,5-lactone lactonohydrolase
3.2.1.85	6-phospho-beta-D-galactoside 6-phosphogalactohydrolase
3.2.1.86	6-phospho-beta-D-glucosyl-(1->4)-D-glucose glucohydrolase
6.3.3.3	7,8-Diaminononanoate:carbon-dioxide cyclo-ligase (ADP-forming)
1.3.1.18	7,8-dihydro-7,8-dihydroxykynurenate:NAD+ oxidoreductase
1.1.1.153	7,8-dihydrobiopterin:NADP+ oxidoreductase
4.2.3.12	7,8-dihydroneopterin 3'-triphosphate triphosphate-lyase(6-pyruvoyl-5,6,7,8-tetrahydropterin-forming)
6.3.2.12	7,8-dihydropteroate:L-glutamate ligase (ADP-forming)
1.13.11.10	7,8-dihydroxykynurenate:oxygen 8,8a-oxidoreductase (decyclizing)
1.14.99.34	7-O-methylluteone,NADPH:O2 oxidoreductase
3.2.1.161	7-[beta-D-apiofuranosyl-(1->6)-beta-D-glucopyranosyloxy]isoflavonoidbeta-D-apiofuranosyl-(1->6)-D-glucohydrolase
1.7.1.13	7-aminomethyl-7-carbaguanine:NADP+ oxidoreductase
1.14.13.74	7-deoxyloganin,NADPH:oxygen oxidoreductase (7alpha-hydroxylating)
3.6.1.30	7-methylguanosine-5'-triphospho-5'-polynucleotide7-methylguanosine-5'-phosphohydrolase
3.2.2.25	7-methylxanthosine ribohydrolase
1.1.1.294	71-hydroxychlorophyllide-a:NAD(P)+ oxidoreductase
4.2.1.106	7alpha,12alpha-dihydroxy-3-oxochol-4-enoate hydro-lyase(12alpha-hydroxy-3-oxochola-4,6-dienoate-forming)
1.14.13.95	7alpha-hydroxycholest-4-en-3-one,NADPH:oxygen oxidoreductase(12alpha-hydroxylating)
1.1.1.159	7alpha-hydroxysteroid:NAD+ 7-oxidoreductase
1.1.1.201	7beta-hydroxysteroid:NADP+ 7-oxidoreductase
1.13.12.12	8'-apo-beta-carotenol:O2 oxidoreductase
1.3.1.42	8-[(1R,2R)-3-oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate:NADP+4-oxidoreductase
1.13.11.51	9-cis-epoxycarotenoid 11,12-dioxygenase
4.2.3.33	9alpha-copalyl-diphosphate diphosphate-lyase (stemar-13-ene-forming)
4.2.3.35	9alpha-copalyl-diphosphate diphosphate-lyase(9beta-pimara-7,15-diene-forming)
4.2.3.42	9alpha-copalyl-diphosphate diphosphate-lyase(aphidicolan-16beta-ol-forming)
4.2.3.34	9alpha-copalyl-diphosphate diphosphate-lyase[stemod-13(17)-ene-forming]
5.5.1.14 ()	9alpha-copalyl-diphosphate lyase (decyclizing)
3.5.4.7	ADP aminohydrolase
3.2.2.24	ADP-D-ribosyl-[dinitrogen reductase] ADP-ribosylhydrolase
5.1.3.20	ADP-L-glycero-D-manno-heptose 6-epimerase
3.1.2.19	ADP-dependent-medium-chain-acyl-CoA hydrolase
3.1.2.18	ADP-dependent-short-chain-acyl-CoA hydrolase
2.4.1.21	ADP-glucose:(1->4)-alpha-D-glucan 4-alpha-D-glucosyltransferase
2.4.1.245 ()	ADP-glucose:D-glucose 1-alpha-D-glucosyltransferase
2.4.1.113	ADP-glucose:protein 4-alpha-D-glucosyltransferase
2.4.1.213	ADP-glucose:sn-glycerol-3-phosphate 2-beta-D-glucosyltransferase
3.6.1.13	ADP-ribose ribophosphohydrolase
3.6.1.21	ADP-sugar sugarphosphohydrolase
2.7.7.53	ADP:ATP adenylyltransferase
2.7.1.146	ADP:D-fructose-6-phosphate 1-phosphotransferase
2.7.1.147	ADP:D-glucose 6-phosphotransferase
2.7.7.35	ADP:D-ribose-5-phosphate adenylyltransferase
2.7.7.36	ADP:alpha-D-aldose-1-phosphate adenylyltransferase
2.7.7.5	ADP:sulfate adenylyltransferase
2.7.7.B3 (preliminary BRENDA-supplied EC number)	ADP:thiamine diphosphate adenylyltransferase
2.7.1.118	ADP:thymidine 5'-phosphotransferase
3.5.4.6	AMP aminohydrolase
3.2.2.4	AMP phosphoribohydrolase
1.8.99.2	AMP, sulfite:acceptor oxidoreductase(adenosine-5'-phosphosulfate-forming)
1.8.4.9	AMP,sulfite:glutathione-disulfide oxidoreductase(adenosine-5'-phosphosulfate-forming)
1.8.4.10	AMP,sulfite:thioredoxin-disulfide oxidoreductase(adenosine-5'-phosphosulfate-forming)
2.4.2.7	AMP:diphosphate phospho-D-ribosyltransferase
2.7.1.114	AMP:thymidine 5'-phosphotransferase
3.5.4.18	ATP aminohydrolase
4.6.1.1	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)
3.6.1.8	ATP diphosphohydrolase (diphosphate-forming)
3.6.1.5	ATP diphosphohydrolase (phosphate-forming)
3.6.1.3	ATP phosphohydrolase
3.6.3.53	ATP phosphohydrolase (Ag+-exporting)
3.6.3.8	ATP phosphohydrolase (Ca2+-transporting)
3.6.3.3	ATP phosphohydrolase (Cd2+-exporting)
3.6.3.11	ATP phosphohydrolase (Cl--importing)
3.6.3.4	ATP phosphohydrolase (Cu2+-exporting)
3.6.4.B2 (preliminary BRENDA-supplied EC number)	ATP phosphohydrolase (DNA helix unwinding)
3.6.3.6	ATP phosphohydrolase (H+-exporting)
3.6.3.14	ATP phosphohydrolase (H+-transporting)
3.6.3.10	ATP phosphohydrolase (H+/K+-exchanging)
3.6.3.12	ATP phosphohydrolase (K+-importing)
3.6.3.2	ATP phosphohydrolase (Mg2+-importing)
3.6.3.7	ATP phosphohydrolase (Na+-exporting)
3.6.3.15	ATP phosphohydrolase (Na+-transporting)
3.6.3.9	ATP phosphohydrolase (Na+/K+-exchanging)
3.6.4.B3 (preliminary BRENDA-supplied EC number)	ATP phosphohydrolase (RNA helix unwinding)
3.6.3.5	ATP phosphohydrolase (Zn2+-exporting)
3.6.4.1	ATP phosphohydrolase (actin-translocating)
3.6.3.48	ATP phosphohydrolase (alpha-factor-transporting)
3.6.3.16	ATP phosphohydrolase (arsenite-exporting)
3.6.3.42	ATP phosphohydrolase (beta-glucan-exporting)
3.6.3.38	ATP phosphohydrolase (capsular-polysaccharide-exporting)
3.6.3.49	ATP phosphohydrolase (channel-conductance-controlling)
3.6.3.52	ATP phosphohydrolase (chloroplast protein-importing)
3.6.3.18	ATP phosphohydrolase (disaccharide-importing)
3.6.3.47	ATP phosphohydrolase (fatty-acyl-CoA-transporting)
3.6.3.30	ATP phosphohydrolase (ferric-ion-transporting)
3.6.3.37	ATP phosphohydrolase (guanine-importing)
3.6.3.46	ATP phosphohydrolase (heavy-metal-exporting)
3.6.3.41	ATP phosphohydrolase (heme-exporting)
3.6.3.34	ATP phosphohydrolase (iron-chelate-importing)
3.6.3.39	ATP phosphohydrolase (lipopolysaccharide-exporting)
3.6.3.19	ATP phosphohydrolase (maltose-importing)
3.6.3.35	ATP phosphohydrolase (manganese-importing)
3.6.3.51	ATP phosphohydrolase (mitochondrial protein-importing)
3.6.3.29	ATP phosphohydrolase (molybdate-importing)
3.6.3.17	ATP phosphohydrolase (monosaccharide-importing)
3.6.3.24	ATP phosphohydrolase (nickel-importing)
3.6.3.26	ATP phosphohydrolase (nitrate-importing)
3.6.3.22	ATP phosphohydrolase (nonpolar-amino-acid-transporting)
3.6.4.11	ATP phosphohydrolase (nucleosome-assembling)
3.6.3.23	ATP phosphohydrolase (oligopeptide-importing)
3.6.3.43	ATP phosphohydrolase (peptide-exporting)
3.6.4.7	ATP phosphohydrolase (peroxisome-assembling)
3.6.3.27	ATP phosphohydrolase (phosphate-importing)
3.6.3.1	ATP phosphohydrolase (phospholipid-flipping)
3.6.3.28	ATP phosphohydrolase (phosphonate-transporting)
3.6.3.21	ATP phosphohydrolase (polar-amino-acid-importing)
3.6.3.31	ATP phosphohydrolase (polyamine-importing)
3.6.4.8	ATP phosphohydrolase (polypeptide-degrading)
3.6.4.10	ATP phosphohydrolase (polypeptide-polymerizing)
3.6.4.9	ATP phosphohydrolase (polypeptide-unfolding)
3.6.3.50	ATP phosphohydrolase (protein-secreting)
3.6.3.32	ATP phosphohydrolase (quaternary-amine-importing)
3.6.3.25	ATP phosphohydrolase (sulfate-importing)
3.6.3.36	ATP phosphohydrolase (taurine-importing)
3.6.3.40	ATP phosphohydrolase (teichoic-acid-exporting)
3.6.4.3	ATP phosphohydrolase (tubulin-dimerizing)
3.6.4.2	ATP phosphohydrolase (tubulin-translocating)
3.6.4.6	ATP phosphohydrolase (vesicle-fusing)
3.6.3.33	ATP phosphohydrolase (vitamin B12-importing)
3.6.3.44	ATP phosphohydrolase (xenobiotic-exporting)
2.7.4.7	ATP:(4-amino-2-methylpyrimidin-5-yl)methyl-phosphate phosphotransferase
4.1.1.33	ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP;isopentenyl-diphosphate-forming)
2.7.4.2	ATP:(R)-5-phosphomevalonate phosphotransferase
2.7.1.B2 (preliminary BRENDA-supplied EC number)	ATP:(R)-glycerate 2-phosphotransferase
2.7.1.31	ATP:(R)-glycerate 3-phosphotransferase
2.7.1.36	ATP:(R)-mevalonate 5-phosphotransferase
2.7.1.33	ATP:(R)-pantothenate 4'-phosphotransferase
2.7.4.11	ATP:(d)AMP phosphotransferase
2.7.4.8	ATP:(d)GMP phosphotransferase
2.7.4.12	ATP:(d)NMP phosphotransferase
2.7.1.107	ATP:1,2-diacyl-sn-glycerol 3-phosphotransferase
2.7.1.93	ATP:1-O-alkyl-sn-glycerol 3-phosphotransferase
2.7.1.65	ATP:1-amino-1-deoxy-scyllo-inositol 4-phosphotransferase
2.7.1.137	ATP:1-phosphatidyl-1D-myo-inositol 3-phosphotransferase
2.7.1.67	ATP:1-phosphatidyl-1D-myo-inositol 4-phosphotransferase
2.7.1.150	ATP:1-phosphatidyl-1D-myo-inositol-3-phosphate 5-phosphotransferase
2.7.1.153	ATP:1-phosphatidyl-1D-myo-inositol-4,5-bisphosphate3-phosphotransferase
2.7.1.154	ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 3-phosphotransferase
2.7.1.68	ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 5-phosphotransferase
2.7.1.149	ATP:1-phosphatidyl-1D-myo-inositol-5-phosphate 4-phosphotransferase
2.7.1.158	ATP:1D-myo-inositol 1,3,4,5,6-pentakisphosphate 2-phosphotransferase
2.7.1.159	ATP:1D-myo-inositol 1,3,4-trisphosphate 5-phosphotransferase
2.7.1.140	ATP:1D-myo-inositol-1,3,4,6-tetrakisphosphate 5-phosphotransferase
2.7.1.127	ATP:1D-myo-inositol-1,4,5-trisphosphate 3-phosphotransferase
2.7.1.151	ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase
2.7.1.134	ATP:1D-myo-inositol-3,4,5,6-tetrakisphosphate 1-phosphotransferase
2.7.4.24	ATP:1D-myo-inositol-5-diphosphate-pentakisphosphate phosphotransferase
2.7.4.21	ATP:1D-myo-inositol-hexakisphosphate 5-phosphotransferase
2.7.1.130	ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-16-glucosaminyl-beta-phosphate 4'-O-phosphotransferase
2.7.7.58	ATP:2,3-dihydroxybenzoate adenylyltransferase
2.7.6.3	ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine6'-diphosphotransferase
2.7.1.58	ATP:2-dehydro-3-deoxy-D-galactonate 6-phosphotransferase
2.7.1.45	ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase
2.7.1.13	ATP:2-dehydro-D-gluconate 6-phosphotransferase
2.7.1.24	ATP:3'-dephospho-CoA 3'-phosphotransferase
2.7.8.25	ATP:3'-dephospho-CoA 5-triphosphoribosyltransferase
2.7.2.3	ATP:3-phospho-D-glycerate 1-phosphotransferase
2.7.1.148	ATP:4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol2-phosphotransferase
2.7.1.49	ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase
2.7.1.50	ATP:4-methyl-5-(2-hydroxyethyl)thiazole 2-phosphotransferase
2.7.1.78	ATP:5'-dephosphopolynucleotide 5'-phosphotransferase
2.7.1.92	ATP:5-dehydro-2-deoxy-D-gluconate 6-phosphotransferase
2.7.4.19	ATP:5-methyldeoxycytidine-5'-phosphate phosphotransferase
2.7.4.3	ATP:AMP phosphotransferase
2.7.4.14	ATP:CMP phosphotransferase
2.7.1.55	ATP:D-allose 6-phosphotransferase
2.7.1.54	ATP:D-arabinose 5-phosphotransferase
2.7.1.3	ATP:D-fructose 1-phosphotransferase
2.7.1.4	ATP:D-fructose 6-phosphotransferase
2.7.1.11	ATP:D-fructose-6-phosphate 1-phosphotransferase
2.7.1.56	ATP:D-fructose-phosphate 6-phosphotransferase
2.7.1.6	ATP:D-galactose 1-phosphotransferase
2.7.1.44	ATP:D-galacturonate 1-phosphotransferase
2.7.1.12	ATP:D-gluconate 6-phosphotransferase
2.7.1.8	ATP:D-glucosamine phosphotransferase
2.7.1.2	ATP:D-glucose 6-phosphotransferase
2.7.1.43	ATP:D-glucuronate 1-phosphotransferase
2.7.1.28	ATP:D-glyceraldehyde 3-phosphotransferase
2.7.1.102	ATP:D-hamamelose 2'-phosphotransferase
2.7.1.1	ATP:D-hexose 6-phosphotransferase
2.7.1.7	ATP:D-mannose 6-phosphotransferase
2.7.1.15	ATP:D-ribose 5-phosphotransferase
2.7.1.18	ATP:D-ribose-5-phosphate 1-phosphotransferase
2.7.6.1	ATP:D-ribose-5-phosphate diphosphotransferase
2.7.1.47	ATP:D-ribulose 5-phosphotransferase
2.7.1.19	ATP:D-ribulose-5-phosphate 1-phosphotransferase
2.7.1.101	ATP:D-tagatose 6-phosphotransferase
2.7.1.144	ATP:D-tagatose-6-phosphate 1-phosphotransferase
2.7.1.17	ATP:D-xylulose 5-phosphotransferase
2.7.7.2	ATP:FMN adenylyltransferase
2.7.6.5	ATP:GTP 3'-diphosphotransferase
2.7.1.16	ATP:L(or D)-ribulose 5-phosphotransferase
2.7.1.46	ATP:L-arabinose 1-phosphotransferase
2.7.3.3	ATP:L-arginine Nomega-phosphotransferase
2.7.2.4	ATP:L-aspartate 4-phosphotransferase
2.7.1.51	ATP:L-fuculose 1-phosphotransferase
2.7.2.13	ATP:L-glutamate 1-phosphotransferase
2.7.2.11	ATP:L-glutamate 5-phosphotransferase
2.7.1.39	ATP:L-homoserine O-phosphotransferase
2.5.1.6	ATP:L-methionine S-adenosyltransferase
2.7.7.54	ATP:L-phenylalanine adenylyltransferase
2.7.1.5	ATP:L-rhamnulose 1-phosphotransferase
2.7.1.53	ATP:L-xylulose 5-phosphotransferase
2.7.1.157	ATP:N-acetyl-D-galactosamine 1-phosphotransferase
2.7.1.59	ATP:N-acetyl-D-glucosamine 6-phosphotransferase
2.7.1.162	ATP:N-acetyl-D-hexosamine 1-phosphotransferase
2.7.2.8	ATP:N-acetyl-L-glutamate 5-phosphotransferase
2.7.1.60	ATP:N-acyl-D-mannosamine 6-phosphotransferase
2.7.1.22	ATP:N-ribosylnicotinamide 5'-phosphotransferase
2.7.1.23	ATP:NAD+ 2'-phosphotransferase
2.7.1.B1 (preliminary BRENDA-supplied EC number)	ATP:NAD+ phosphotransferase
2.7.1.86	ATP:NADH 2'-phosphotransferase
2.7.4.B1 (preliminary BRENDA-supplid EC number)	ATP:NMP phosphotransferase
2.7.1.84	ATP:O-alkylglycerone phosphotransferase
2.7.1.100	ATP:S-methyl-5-thio-D-ribose 1-phosphotransferase
2.7.4.22	ATP:UMP phosphotransferase
2.7.11.4	ATP:[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)]phosphotransferase
2.7.11.23	ATP:[DNA-directed RNA polymerase] phosphotransferase
2.7.11.8	ATP:[Fas-activated serine/threonine protein] phosphotransferase
2.7.11.16	ATP:[G-protein-coupled receptor] phosphotransferase
2.7.11.9	ATP:[Goodpasture antigen-binding protein] phosphotransferase
2.7.11.10	ATP:[IkappaB protein] phosphotransferase
2.7.7.42	ATP:[L-glutamate:ammonia ligase (ADP-forming)] adenylyltransferase
2.7.11.27	ATP:[acetyl-CoA carboxylase] phosphotransferase
2.7.11.15	ATP:[beta-adrenergic receptor] phosphotransferase
2.7.11.20	ATP:[elongation factor 2] phosphotransferase
2.7.11.31	ATP:[hydroxymethylglutaryl-CoA reductase (NADPH)] phosphotransferase
2.7.11.5	ATP:[isocitrate dehydrogenase (NADP+)] phosphotransferase
2.7.11.29	ATP:[low-density-lipoprotein receptor]-L-serine O-phosphotransferase
2.7.11.7	ATP:[myosin heavy-chain] O-phosphotransferase
2.7.11.18	ATP:[myosin light chain] O-phosphotransferase
2.7.10.2	ATP:[protein]-L-tyrosine O-phosphotransferase (non-specific)
2.7.10.1	ATP:[protein]-L-tyrosine O-phosphotransferase (receptor-type)
2.7.11.2	ATP:[pyruvate dehydrogenase (acetyl-transferring)] phosphotransferase
2.7.11.30	ATP:[receptor-protein] phosphotransferase
2.7.11.26	ATP:[tau-protein] O-phosphotransferase
2.7.11.6	ATP:[tyrosine-3-monoxygenase] phosphotransferase
2.7.2.1	ATP:acetate phosphotransferase
2.7.1.94	ATP:acylglycerol 3-phosphotransferase
2.7.1.20	ATP:adenosine 5'-phosphotransferase
2.7.1.25	ATP:adenylyl-sulfate 3'-phosphotransferase
2.7.3.10	ATP:agmatine N4-phosphotransferase
2.7.1.10	ATP:alpha-D-glucose-1-phosphate 6-phosphotransferase
2.7.7.27	ATP:alpha-D-glucose-1-phosphate adenylyltransferase
2.7.9.4	ATP:alpha-glucan, water phosphotransferase
2.7.3.8	ATP:ammonia phosphotransferase
2.7.7.55	ATP:anthranilate N-adenylyltransferase
2.7.1.105	ATP:beta-D-fructose-6-phosphate 2-phosphotransferase
2.7.1.52	ATP:beta-L-fucose 1-phosphotransferase
2.7.2.14	ATP:branched-chain-fatty-acid 1-phosphotransferase
2.7.2.7	ATP:butanoate 1-phosphotransferase
2.7.2.2	ATP:carbamate phosphotransferase
2.7.1.85	ATP:cellobiose 6-phosphotransferase
2.7.1.138	ATP:ceramide 1-phosphotransferase
2.7.1.32	ATP:choline phosphotransferase
2.5.1.17	ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase
2.7.3.2	ATP:creatine N-phosphotransferase
2.7.11.22	ATP:cyclin phosphotransferase
2.7.4.9	ATP:dTMP phosphotransferase
2.7.1.76	ATP:deoxyadenosine 5'-phosphotransferase
2.7.1.113	ATP:deoxyguanosine 5'-phosphotransferase
2.7.1.145	ATP:deoxynucleoside 5'-phosphotransferase
2.7.4.13	ATP:deoxynucleoside-phosphate phosphotransferase
2.7.11.3	ATP:dephospho-{[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase}phosphotransferase
2.7.1.88	ATP:dihydrostreptomycin-6-phosphate 3'alpha-phosphotransferase
2.7.1.27	ATP:erythritol 4-phosphotransferase
2.7.1.82	ATP:ethanolamine O-phosphotransferase
2.7.4.18	ATP:farnesyl-diphosphate phosphotransferase
2.7.2.6	ATP:formate phosphotransferase
2.7.1.30	ATP:glycerol 3-phosphotransferase
2.7.1.29	ATP:glycerone phosphotransferase
2.7.3.1	ATP:guanidinoacetate N-phosphotransferase
2.7.3.7	ATP:guanidinoethyl-methyl-phosphate phosphotransferase
2.7.1.B3 (preliminary BRENDA-supplied EC number)	ATP:hygromycin-B 4-O-phosphotransferase
2.7.1.119	ATP:hygromycin-B 7''-O-phosphotransferase
2.7.3.6	ATP:hypotaurocyamine N-phosphotransferase
2.7.1.73	ATP:inosine 5'-phosphotransferase
2.7.1.95	ATP:kanamycin 3'-O-phosphotransferase
2.7.7.63	ATP:lipoate adenylyltransferase
2.7.3.5	ATP:lombricine N-phosphotransferase
2.7.1.136	ATP:macrolide 2'-O-phosphotransferase
2.7.1.64	ATP:myo-inositol 1-phosphotransferase
2.7.7.1	ATP:nicotinamide-nucleotide adenylyltransferase
2.7.7.18	ATP:nicotinate-ribonucleotide adenylyltransferase
2.7.6.4	ATP:nucleoside-5'-phosphate diphosphotransferase
2.7.4.6	ATP:nucleoside-diphosphate phosphotransferase
2.7.4.4	ATP:nucleoside-phosphate phosphotransferase
4.1.1.49	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
2.7.1.34	ATP:pantetheine 4'-phosphotransferase
2.7.7.3	ATP:pantetheine-4'-phosphate adenylyltransferase
2.7.9.5	ATP:phospho-alpha-glucan, water phosphotransferase
2.7.11.19	ATP:phosphorylase-b phosphotransferase
2.7.7.19	ATP:polynucleotide adenylyltransferase
2.7.4.1	ATP:polyphosphate phosphotransferase
2.7.2.15 ()	ATP:propanoate phosphotransferase
2.7.11.17	ATP:protein phosphotransferase (Ca2+/calmodulin-dependent)
2.7.11.24	ATP:protein phosphotransferase (MAPKK-activated)
2.7.12.2	ATP:protein phosphotransferase (MAPKKK-activated)
2.7.11.25	ATP:protein phosphotransferase (MAPKKKK-activated)
2.7.12.1	ATP:protein phosphotransferase (Ser/Thr- and Tyr-phosphorylating)
2.7.11.11	ATP:protein phosphotransferase (cAMP-dependent)
2.7.11.12	ATP:protein phosphotransferase (cGMP-dependent)
2.7.11.13	ATP:protein phosphotransferase (diacylglycerol-dependent)
2.7.11.1	ATP:protein phosphotransferase (non-specific)
2.7.11.21	ATP:protein phosphotransferase (spindle-pole-dependent)
2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)	ATP:protein-L-histidine N-phosphotransferase
2.7.13.1 (see EC 2.7.13.3 for detailed, organism-specific information for enzymes lacking information on histidine stereochemistry)	ATP:protein-L-histidine Npi-phosphotransferase
2.7.13.2 (see EC 2.7.13.3 for detailed, organism-specific information for enzymes without information on histidine stereochemistry)	ATP:protein-L-histidine Ntau-phosphotransferase
2.7.1.83	ATP:pseudouridine 5'-phosphotransferase
2.7.1.35	ATP:pyridoxal 5'-phosphotransferase
2.7.1.40	ATP:pyruvate 2-O-phosphotransferase
2.7.9.1	ATP:pyruvate, phosphate phosphotransferase
2.7.9.2	ATP:pyruvate,water phosphotransferase
2.7.11.14	ATP:rhodopsin phosphotransferase
2.7.1.26	ATP:riboflavin 5'-phosphotransferase
2.7.4.23	ATP:ribose-1,5-bisphosphate phosphotransferase
2.7.1.14	ATP:sedoheptulose 7-phosphotransferase
2.7.9.3	ATP:selenide, water phosphotransferase
2.7.1.71	ATP:shikimate 3-phosphotransferase
2.7.1.91	ATP:sphinganine 1-phosphotransferase
2.7.7.47	ATP:streptomycin 3''-adenylyltransferase
2.7.1.87	ATP:streptomycin 3''-phosphotransferase
2.7.1.72	ATP:streptomycin 6-phosphotransferase
2.7.7.4	ATP:sulfate adenylyltransferase
2.7.7.25	ATP:tRNA adenylyltransferase
2.7.3.4	ATP:taurocyamine N-phosphotransferase
2.7.6.2	ATP:thiamine diphosphotransferase
2.7.1.89	ATP:thiamine phosphotransferase
2.7.4.15	ATP:thiamine-diphosphate phosphotransferase
2.7.4.16	ATP:thiamine-phosphate phosphotransferase
2.7.1.21	ATP:thymidine 5'-phosphotransferase
2.7.11.28	ATP:tropomyosin O-phosphotransferase
2.7.1.66	ATP:undecaprenol phosphotransferase
2.7.1.48	ATP:uridine 5'-phosphotransferase
2.7.1.103	ATP:viomycin O-phosphotransferase
2.7.1.122	ATP:xylitol 5-phosphotransferase
3.6.3.20	ATPphosphohydrolase (glycerol-3-phosphate-importing)
6.2.1.13	Acetate:CoA ligase (ADP-forming)
6.2.1.1	Acetate:CoA ligase (AMP-forming)
6.2.1.16	Acetoacetate:CoA ligase (AMP-forming)
5.1.2.4	Acetoin racemase
6.4.1.2	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)
2.3.1.150	Acetyl-CoA:salutaridinol 7-O-acetyltransferase
3.1.1.72	Acetylxylan esterase
6.2.1.3	Acid:CoA ligase (AMP-forming)
6.2.1.10	Acid:CoA ligase (GDP-forming)
3.2.1.87	Aerobacter-capsular-polysaccharide galactohydrolase
5.1.1.1	Alanine racemase
1.2.99.6	Aldehyde:acceptor oxidoreductase
5.1.3.3	Aldose 1-epimerase
3.5.5.7	Aliphatic nitrile aminohydrolase
5.1.99.3	Allantoin racemase
2.4.1.212	AlternatingUDP-alpha-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->3)-[nascenthyaluronan] 4-N-acetyl-beta-D-glucosaminyltransferase andUDP-alpha-D-glucuronate:N-acetyl-beta-D-glucosaminyl-(1->4)-[nascenthyaluronan] 3-beta-D-glucuronosyltransferase
