(+)-abscisic acid 8'-hydroxylase	1.14.13.93
BAM1	3.2.1.2
BAM3	3.2.1.2
BAN	1.17.1.3 / or / 1.3.1.77
BANA-hydrolase	3.4.22.40
BANYULS	1.3.1.77
BAO	1.4.3.21
BAP	3.1.3.1
BAP1	4.2.99.18
BAR	2.3.1.183 / or / 5.1.1.10
BARS-38	1.2.1.12
BAS0238	5.1.1.1
BAST	2.8.2.14 / or / 2.8.2.34
BAST I	2.8.2.14 / or / 2.8.2.34
BAT	2.3.1.65
BAT-PA	3.4.21.68
BB-CK 	2.7.3.2
BB0728	1.8.1.14
BBE	1.21.3.3 / or / 2.4.1.18
BBH	1.14.11.1
BBM II isomerase	5.3.1.16
BBM II ketolisomerase	5.3.1.16
BBMII isomerase	5.3.1.16
BBOX1	1.14.11.1
BC	6.3.4.14
BC6	3.1.3.1
BCA II	4.2.1.1
BCAA aminotransferase	2.6.1.42
BCAA-AT	2.6.1.42
BCAATase	2.6.1.42
BCAD	1.3.99.2
BCAII	4.2.1.1
BCAIIGln253Cys	4.2.1.1
BCAL2829	3.4.21.107
BCAT-1	2.6.1.42
BCAT4	2.6.1.42
BCATc	2.6.1.42
BCATm	2.6.1.42
BCB	3.2.1.2
BCD	1.3.99.2
BCDH	1.2.4.4
BCE1	3.2.1.4
BCH	3.1.2.4
BCIR PSAT	2.6.1.52
BCK	2.7.11.4
BCKA	4.1.1.72
BCKADC	1.2.4.4
BCKD	1.2.4.4
BCKD kinase	2.7.11.4
BCKDC	1.2.4.4
BCKDH	1.2.4.4 / or / 2.7.11.4 / or / 3.1.3.52
BCKDH E1-alpha	1.2.4.4
BCKDH E1-beta	1.2.4.4
BCKDH kinase	2.7.11.4
BCKDH phosphatase	3.1.3.16
BCKDHB	1.2.4.4
BCL-1	3.5.2.6
BCLM	6.2.1.25
BCM	1.14.99.36
BCO	1.14.99.36
BCO1	1.14.99.36
BCOA	1.2.4.4
BCOAD	1.2.4.4 / or / 2.7.11.4
BCP54	1.2.1.5
BCR-ABL tyrosine kinase	2.7.10.2
BCR-Abl	2.7.10.2
BCR/ABL kinase	2.7.10.2
BChE	1.14.13.81 / or / 3.1.1.8
BDH	1.1.1.30 / or / 1.1.99.8
BDH1	1.1.1.30
BDH2	1.1.1.30
BDK	2.7.11.4
BDNF/NT-3 growth factors receptor	2.7.10.1
BDO	1.14.12.18 / or / 1.14.12.3
BDP	3.1.3.48
BE	2.4.1.18
BE1 	2.4.1.18
BE2 	2.4.1.18
BE3 	2.4.1.18
BEK	3.4.21.9
BEK/FGFR-2 receptor	2.7.10.1
BEL-1	3.5.2.6
BEN1	1.3.1.77
BF2666	2.6.1.83
BFD	4.1.1.7
BFDC	4.1.1.7
BFP-aq	1.13.12.5
BFT	3.4.24.74
BFT-1	3.4.24.74
BFT-2	3.4.24.74
BG	3.2.1.21
BGA	3.2.1.21
BGL1	3.2.1.21 / or / 3.2.1.23
BGL1A	3.2.1.21
BGL1B	3.2.1.21
BGLU45	3.2.1.126
BGLU46	3.2.1.126
BGN16.3	3.2.1.75
BGN3.2 	3.2.1.58
BGN3.4 	3.2.1.58
BGR	6.2.1.3
BGT	2.4.1.27 / or / 3.6.3.22
BGT I	3.2.1.23
BGT II	3.2.1.23
BGTG-1	3.2.1.1
BGX1	3.2.1.21
BGase-III	3.2.1.85
BGlu1	3.2.1.21
BGs	3.2.1.21
BH	3.4.22.40
BH protein	3.4.22.40
BHA	3.2.1.1
BHBD	1.1.1.157
BHC110	1.14.11.B2
BHC110/LSD1	1.14.11.B1
BHMT	2.1.1.5
BHMT-2	2.1.1.10 / or / 2.1.1.5
BHMT2	2.1.1.5
BIAP	3.1.3.1
BIE	3.4.24.15
BIEP	3.4.21.19
BIGEP	3.4.21.19
BIO2 protein (Arabidopsis thaliana clone pMP101 gene BIO2 reduced)	2.8.1.6
BIO3	6.3.3.3
BIS	2.3.1.177
BJ-PLA2	3.1.1.4
BJL200-ChiC1	3.2.1.14
BJUPLA2	3.1.1.4
BK	2.7.2.7
BKR	1.1.1.100
BL-GSE	3.4.21.19 / or / 3.4.21.82
BL-MA	3.4.24.28
BL00235	6.3.2.28
BLA	3.2.1.1
BLAIMP	3.5.2.6
BLCT	3.4.21.59
BLG	3.2.1.31
BLGAL	3.2.1.89
BLH	3.4.22.40
BLI-4	3.4.21.61
BLM	3.6.4.B2
BLM hydrolase	3.4.22.40
BLM protein	3.6.4.B2
BLMH protein	3.4.22.40
BLS	3.4.21.62
BLV PR	3.4.23.B9
BLV endopeptidase	3.4.23.B9
BLV protease	3.4.23.B9
BLase	3.4.21.19
BM-PRI	2.7.11.30
BM-PRII	2.7.11.30
BMA	2.4.1.19
BMH	3.4.22.40
BMK	2.7.10.2
BMK1	2.7.11.24
BMN 	3.1.30.2
BMO	1.14.15.3
BMP type I receptor	2.7.11.30
BMP type II receptor	2.7.10.2 / or / 2.7.11.30
BMP-1	3.4.24.19
BMP-2/BMP-4 receptor	2.7.10.2
BMP1	3.4.24.19
BMPR-IB	2.7.10.2
BMPR1A	2.7.10.2
BMPR2	2.7.11.30
BMPRII	2.7.11.30
BMT	2.1.1.69
BMV 1a protein	3.6.1.15
BMY	3.2.1.2
BN59	3.6.3.14
BNSEH1	3.3.2.10
BNST4	2.8.2.15
BOD	1.3.3.5
BOH	1.1.99.8 / or / 1.2.99.3
BOS1	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
BOX	1.3.3.5
BP-1	3.4.11.7
BP-1/6C3 antigen	3.4.11.7
BP-3 alloantigen	3.2.2.5
BP1/6C3	3.4.11.7
BPA-binding protein	5.3.4.1
BPA-synthase	2.5.1.51
BPAO	1.4.3.21 / or / 1.5.3.11
BPDO	1.13.11.39 / or / 1.14.12.18
BPDOB356	1.14.12.18
BPDOCam-1	1.14.12.18
BPDOLB400	1.14.12.18
BPG-dependent PGAM	5.4.2.1 / or / 5.4.2.4
BPG-independent PGAM	5.4.2.1
BPGM	5.4.2.4
BPH dox	1.14.12.18
BPH-20	3.2.1.35
BPI/BPII	3.1.1.4
BPK	2.7.10.2
BPL	6.3.4.15
BPN'	3.4.21.62
BPNT1	3.1.3.7
BPO	1.11.1.B4 / or / 1.14.12.18
BPO 1	1.11.1.B4
BPO 2	1.11.1.B4
BPO-A1	1.11.1.B4
BPP hydrolase	3.1.7.3
BPP1347 	3.4.21.53
BPS	2.3.1.151
BPT	3.4.21.4
BPU	3.5.1.5
BPY	5.4.99.B1 / or / 5.4.99.B3
BPntase	3.1.3.7
BR1-GC	4.6.1.2
BRAG	2.8.2.33
BRAHMA 	3.6.4.11
BRCA I 	6.3.2.19
BRCA1 ubiquitin ligase	6.3.2.19
BRCA1-associated C-terminal helicase	3.6.4.B2
BRCA1/BARD1 	6.3.2.19
BRCA1/BARD1 ubiquitin ligase	6.3.2.19
BRCACox	1.3.3.6
BRG-1 	3.6.4.11
BRK-1	2.7.10.2
BRS1	3.4.16.5
BS deaminase	3.5.4.23
BS-GSE	3.4.21.19
BS-RNase	3.1.27.5
BS3	3.5.2.6
BSA-2	3.2.1.1
BSAO	1.4.3.21 / or / 1.4.3.22
BSAP	3.4.11.10 / or / 3.4.11.6
BSD	3.5.4.23
BSDL	3.1.1.13
BSE	3.1.1.1
BSEase	3.1.16.1
BSH	3.5.1.24
BSMA	3.2.1.133
BSP1	3.1.27.1
BSPMII	3.1.21.4
BSS	2.8.2.14 / or / 4.1.99.11
BSS I 	2.8.2.14
BSS II	2.8.2.14
BSSL	3.1.1.3
BST 1 	2.8.2.14
BST 2	2.8.2.14
BSTA	3.2.1.1
BSX	3.2.1.8
BSXY	3.2.1.8
BT	2.7.2.4 / or / 3.4.21.4
BTD	3.5.1.12
BTE	3.1.2.14
BTH	3.2.1.35
BTID	3.1.1.3
BTL2	3.1.1.3
BTL2 lipase	3.1.1.3
BTMA	3.2.1.133
BTT	2.7.2.4
BUB1 protein kinases	2.7.11.1
BUP-1	3.5.1.6
BV-AIDH	1.2.99.6 / or / 1.2.99.7
BVD NS3 endopeptidase	3.4.21.113
BVDV NS3 endopeptidase	3.4.21.113
BVH	3.2.1.35
BVL PR	3.4.23.B9
BVMO	1.14.13.105 / or / 1.14.13.92
BVP	3.1.3.48
BVR	2.7.12.1
BVR 	1.3.1.24
BVR-A 	1.3.1.24
BVR-B 	1.3.1.24
BVRA 	1.3.1.24
BVRB	1.3.1.24
BX1	4.1.2.8 (reinstated 2006, had been eliminated in 1972)
BXET	2.4.1.207
BZDO	1.14.12.10
BZDO enzyme	1.14.12.10
BZL	4.1.2.38
BaPanK	2.7.1.33
BaTX	3.1.1.4
Baceroides fragilis enterotoxin	3.4.24.74
Bacillopeptidase A	3.4.21.62
Bacillopeptidase B	3.4.21.62
Bacillus aminopeptidase I	3.4.11.22
Bacillus anthracis lethal toxin	3.4.24.83
Bacillus beta-GlcNAcase	3.2.1.53
Bacillus licheniformis alpha-amylase	3.2.1.1
Bacillus macerans amylase	2.4.1.19
Bacillus metalloendopeptidase	3.4.24.28
Bacillus metalloproteinase	3.4.24.28
Bacillus neutral proteinase	3.4.24.28
Bacillus subtilis alkaline proteinase Bioprase	3.4.21.62
Bacillus subtilis chorismate mutase	5.4.99.5
Bacillus subtilis deoxyribonuclease	3.1.30.1
Bacillus subtilis neutral proteinase	3.4.24.28
Bacillus subtilis ribonuclease	3.1.27.2
Bacillus thermoproteolyticus neutral proteinase	3.4.24.27
Bacisubin	3.1.27.2
Bacterial leader peptidase 1	3.4.21.89
Bacteroides fragilis enterotoxin	3.4.24.74
Bacteroides fragilis toxin	3.4.24.74
BactnABC	4.2.2.21
Bactosol TK	3.2.1.1
Bae16	3.4.24.28
Baeyer-Villiger mono-oxygenase	1.14.13.105
Baeyer-Villiger monooxygenase	1.14.13.105 / or / 1.14.13.92
BalI	3.1.21.4
Balc424	3.4.24.69
Balpha |	3.1.3.16
Balt-LAAO-I	1.4.3.2
BamHI	3.1.21.4
BamHI MTase	2.1.1.72
BamHI [cytosine-N4] MTase	2.1.1.113
BamY	6.2.1.25
Ban-Gluc	3.2.1.39
BanatA	2.3.1.5
BanatB 	2.3.1.5
BanatC	2.3.1.5
Bar proteinase	3.4.23.35
BarA protein	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
BarA sensor kinase (sensory histidine kinase)	2.7.13.3 (protein-histidine kinases without information on stereospecificity towards histidine)
Barley I	6.4.1.4
Barley grain aspartic proteinase	3.4.23.40
Barrier	3.4.23.35
Barrier proteinase	3.4.23.35
Basic beta-1,3-endoglucanase BGN13.1	3.2.1.39
Basic beta-1,3-glucanase	3.2.1.39
Basic protein I/II	3.1.1.4
BatIMS	2.3.3.13
Batk	2.7.10.2
Batroxobin	3.4.21.74
BbLDH	1.1.1.27
BbPDF	3.5.1.88
Bbchit1	3.2.1.14
BbdC	1.8.4.2
BbeI	3.1.21.4
BbmA	3.2.1.133
BbsG	1.3.99.21
BbvCI	3.1.21.4
BbvI	3.1.21.4
BbvII	3.1.21.4
Bc S deaminase	3.5.4.23
Bc-SMase	3.1.4.12
BcDHOase	3.5.2.3
BcDltA	6.1.1.13
BcMCM	3.6.4.B2
BcPDF	3.5.1.88
BcPDF2	3.5.1.88
BcaP	3.6.3.21
BcaT	2.6.1.42
BceA 	2.7.7.13
BceAJ	5.3.1.8
BcefI	3.1.21.4
BcgI	3.1.21.4
BchM	2.1.1.11
BchP	1.3.1.83
Bcl	6.2.1.25
BclI	3.1.21.4
Bcmo1	1.14.99.36
Bcox	1.14.99.36
Bcp1 	1.11.1.15
Bcp2	1.11.1.15
Bcp3 	1.11.1.15
Bcp4 	1.11.1.15
Bcr-Abl kinase	2.7.10.2
BcrC 	3.6.1.27
Bcs1	1.1.1.137
Bcs1 	2.7.7.40
BdbD	1.8.4.2
Bean endopeptidase	3.4.22.34 / or / 3.4.22.B1
BenA	1.14.12.10
Bendless protein	6.3.2.19
Bendless-like ubiquitin conjugating enzyme	6.3.2.19
Benzene-1,4-dicarboxylate 1,2-dioxygenase	1.14.12.15
Benzenediol:oxygen oxidoreductase	1.10.3.2
Benzoate coenzyme A ligase	6.2.1.25
Benzoate-CoA ligase (AMP-forming)	6.2.1.25
Benzoyl coenzyme A synthetase	6.2.1.25
Benzoyl-CoA 3-hydroxylase	1.14.13.58
Benzoyl-CoA ligase	6.2.1.25
Benzoyl-CoA reductase (dearomatizing)	1.3.99.15
Benzoyl-CoA synthetase	6.2.1.25
Benzoylglycine amidohydrolase	3.5.1.32
BetTA.halophytica	3.6.3.32
Beta lactamase OXA-10	3.5.2.6
Beta toxin	3.1.4.3
Beta-1,3-endoglucanase GI	3.2.1.39
Beta-1,3-endoglucanase GII	3.2.1.39
Beta-1,3-endoglucanase GIII	3.2.1.39
Beta-1,3-endoglucanase GIV	3.2.1.39
Beta-1,3-endoglucanase GV	3.2.1.39
Beta-1,3-endoglucanase GVI	3.2.1.39
Beta-1,3-endoglucanase, basic	3.2.1.39
Beta-1,4-glycanase CEX	3.2.1.91
Beta-CNA nitrilase	4.2.1.65
Beta-CNAla hydrolase	4.2.1.65
Beta-D-glucuronoside glucuronosohydrolase	3.2.1.31
Beta-G1	3.2.1.31
Beta-GlcNAcase	3.2.1.52
Beta-Hydroxyoctanoyl-acyl carrier protein dehydrase	4.2.1.59
Beta-MPP	3.4.24.64
Beta-N-acetylglucosaminyl	3.5.1.26
Beta-N-acetylhexosaminidase	3.2.1.52
Beta-NAHASE	3.2.1.52
Beta-glucancellobiohydrolase	3.2.1.91
Beta-hemolysin	3.1.4.12 / or / 3.1.4.3
Beta-hydroxyoctanoyl-ACP-dehydrase	4.2.1.59
Beta-isohexenylglutaconyl-CoA-hydratase	4.2.1.57
Beta-mannanase	3.2.1.78
Beta-methylcrotonyl coenzyme A holocarboxylase synthetase	6.3.4.11
Beta-thionase	4.2.1.22
Beta-toxin	3.1.4.12 / or / 3.1.4.3
Beta-trace protein	5.3.99.2
BfdB	4.1.1.7
BfdM	4.1.1.7
Bfi2411I	3.1.21.4
BfpA	3.4.23.43
Bfurin	3.4.21.75
BgDHFR-TS	2.1.1.45
BgII	3.1.21.4
BgaBM	3.2.1.23
BgaS	3.2.1.23
BgaX	3.2.1.23
Bgl	3.2.1.21
Bgl3	3.2.1.21
Bgl3B	3.2.1.21
BglA	3.2.1.21 / or / 3.2.1.74
BglAp	3.2.1.23
BglB	3.2.1.21 / or / 3.2.1.25
BglC	3.2.1.21
BglF	3.2.1.39
BglF protein	2.7.1.69
BglI	3.1.21.4 / or / 3.2.1.21
BglII	3.1.21.4 / or / 3.2.1.21 / or / 3.2.1.39
BglK	2.7.1.85
BglT	3.2.1.86
Bgs1p	2.4.1.34
Bgs3p	2.4.1.34
Bgs4p	2.4.1.34
Bh0493	5.3.1.12
Bh1	3.1.30.1
Bi-subunit topoisomerase IB	5.99.1.2
BiP	3.6.4.10
BiSP	2.4.1.7
BifA	2.7.7.65 / or / 3.1.4.52
Bile acid coenzyme A synthetase	6.2.1.7
Bile acid-coenzyme A ligase	6.2.1.7
Bile acid-inducible protein	1.1.1.159
Bile acid:CoA ligase	6.2.1.7
Bile canaliculus domain-specific membrane glycoprotein	3.4.14.5
Bile-salt-stimulated lipase	3.1.1.3
Biliverdin-IX beta-reductase	1.5.1.30
BinI	3.1.21.4
BinTx-I	3.1.1.4
BinTx-II	3.1.1.4
Binase	3.1.27.3
Bio2	2.8.1.6
BioB	2.8.1.6
Bioprase AL 15	3.4.21.62
Bioprase APL 30	3.4.21.62
Biosynthetic arginine decarboxylase	4.1.1.19
Biotin holoenzyme synthetase	6.3.4.15
Biotin--protein ligase	6.3.4.15
Biotin-[acetyl coenzyme A carboxylase] synthetase	6.3.4.15
Biotin-[acetyl-CoA carboxylase] synthetase	6.3.4.15
Biotin-[methylcrotonyl-CoA-carboxylase] synthetase	6.3.4.11
Biotin-[methylmalonyl-CoA-carboxyltransferase] ligase	6.3.4.9
Biotin-[methylmalonyl-CoA-carboxyltransferase] synthetase	6.3.4.9
Biotin-[propionyl-CoA-carboxylase (ATP-hydrolysing)] synthetase	6.3.4.10
Biotin-apotranscarboxylase synthetase	6.3.4.9
Biotin-beta-methylcrotonyl coenzyme A carboxylase synthetase	6.3.4.11
Biotin-methylmalonyl coenzyme A carboxyltransferase synthetase	6.3.4.9
Biotin-propionyl coenzyme A carboxylase synthetase	6.3.4.10
Biotin-transcarboxylase synthetase	6.3.4.9
Biotin:apocarboxylase ligase	6.3.4.15
Biotinyl CoA synthetase	6.2.1.11
Biotinyl coenzyme A synthetase	6.2.1.11
Biotinyl-CoA synthetase	6.2.1.11
Biphenyl 2,3-dioxygenase	1.14.12.18
Biphenyl-2,3-dihydro-2,3-diol dehydrogenase	1.3.1.56 / or / 1.3.1.58
Biphenyl-cis-diol dehydrogenase	1.3.1.56
Biphosphoglycerate synthase	5.4.2.4
BirA	6.3.4.14
BirA 	6.3.4.15
BirA protein	6.3.4.15
Bisphosphoglyceromutase	5.4.2.4
Bj-V	3.1.1.4
BjCHI1	3.2.1.14
BjDGAT1	2.3.1.20
BjDGAT2	2.3.1.20
BjHMGS1	2.3.3.10
BjHMGS2	2.3.3.10
BjHMGS3	2.3.3.10
BjHMGS4	2.3.3.10
BjPCS1	2.3.2.15
BjSAMDC1	4.1.1.50
BjSAMDC2	4.1.1.50
BjSAMDC3	4.1.1.50
BjSAMDC4	4.1.1.50
Bkd	1.2.4.4
Bla-A	3.5.2.6
Bla-B	3.5.2.6
Bla1	3.5.2.6
BlaA	3.5.2.6
BlaB	3.5.2.6
BlaC	3.5.2.6
Black Beetle virus endopeptidase	3.4.23.44
BlcC	3.1.1.81
Bleomycin hydrolase	3.4.22.40
Blh1p	3.4.22.40
Blk	2.7.10.2
Blood coagulation factor XIV	3.4.21.69
Blood-coagulation factor X activating enzyme	3.4.24.58
Blood-coagulation factor XIV, activated	3.4.21.69
Blood-coagulation factor XIVa	3.4.21.69
Blrp	3.1.4.52
BlxA	3.2.1.8
BmCHI-h	3.2.1.52
BmCatD	3.4.23.5
BmHk	2.7.1.1
BmL3-helicase	3.6.4.B3
BmNPV CHIA	3.2.1.52
BmNPV protease	3.4.22.50
BmPGA	3.5.1.11
BmTGA	2.3.2.13
Bmi1 	6.3.2.19
BmrA 	3.6.3.44
BmrI	3.1.21.4
Bmx	2.7.10.2
Bmx tyrosine kinase	2.7.10.2
Bmy1	3.2.1.2
Bmy2	3.2.1.2
BnC4H-1	1.14.13.11
BnC4H-2	1.14.13.11
BnLIP2	3.1.1.49
BnNrt1.1	3.6.3.26
BnNrt2.1	3.6.3.26
BnPtdIns S1	2.7.8.11
BnSCE3	3.1.1.49
BnSCE3/BnLIP2	3.1.1.49
BnSCT	2.3.1.91
BnSGT1	2.4.1.120
Bna3	2.6.1.7
Bna4	1.14.13.9
Bna7p	3.5.1.9
BnaA	3.1.1.72
BoNT	3.4.24.69
BoNT A	3.4.24.69
BoNT F	3.4.24.69
BoNT LC	3.4.24.69
BoNT LC/A	3.4.24.69
BoNT serotype A	3.4.24.69
BoNT/A	3.4.24.69
BoNT/A LC	3.4.24.69
BoNT/A-LC	3.4.24.69
BoNT/B	3.4.24.69
BoNT/C1	3.4.24.69
BoNT/C1-LC	3.4.24.69
BoNT/D	3.4.24.69
BoNT/E	3.4.24.69
BoNT/F	3.4.24.69
BoNT/G	3.4.24.69
BoNTA endopeptidase	3.4.24.69
BoNTE	3.4.24.69
Bone marrow kinase BMX	2.7.10.2
Bontoxilysin C1	3.4.24.69
Boofd8	1.14.19.4
Bornyl pyrophosphate synthase	5.5.1.8
Bornyl pyrophosphate synthetase	5.5.1.8
Bothrops atrox serine proteinase	3.4.21.74
Bothrops metalloendopeptidase J	3.4.24.50
Bothropstoxin-I	3.1.1.4
Botulinum neurotoxin 	3.4.24.69
Bovine neurosecretory granule protease cleavingpro-oxytocin/neurophysin	3.4.24.62
BphA	1.14.12.18
BphA1	1.14.12.18
BphA4	1.18.1.3
BphABC	1.14.12.18
BphAE	1.14.12.18
BphB	1.3.1.56
BphC	1.13.11.39
BphC1	1.13.11.39
BphC1-BN6	1.13.11.39
BphC2	1.13.11.39
BphC2-BN6	1.13.11.39
BphC3	1.13.11.39
BphC_JF8	1.13.11.39
BphD	3.7.1.8
BphD enzyme	3.7.1.8
BphDP6	3.7.1.8
BphH	4.2.1.80
BphK	2.5.1.18
BphO	1.14.99.3
Bpir-LAOO-1	1.4.3.2
BpuIOI	3.1.21.4
BpuJI 	3.1.22.4
BrPO	1.11.1.B4
Brahma (SWI/SNF) chromatin remodeling complex	3.6.4.11
Brahma-related gene 1	3.6.4.11
Brain aromatase	1.14.14.1
Brain carboxylesterase hBr1	3.1.1.1
Brain trypsinogen	3.4.21.4
Brain-derived phosphatase	3.1.3.48
Brain-specific kinase	2.7.10.1
Brain-type aldolase	4.1.2.13
Brassica turgor-responsive/drought-induced gene 26 protein	1.2.1.3
Breast tumor kinase	2.7.10.2
Breast-tumor-amplified kinase	2.7.11.1
Breathless protein	2.7.10.1
Brg1 	3.6.4.11
Brk	2.7.10.2
Bromelain	3.4.22.32 / or / 3.4.22.33
Bromelain, juice	3.4.22.33
Bromelain, stem	3.4.22.32
Bromelase	3.4.22.33
Bromelin	3.4.22.33
Brown-midrib 1 protein	1.1.1.195
Brt	2.7.10.1
Bruton's tyrosine kinase	2.7.10.2
Bruton's tyrosine kinase PH domain	2.7.10.2
Brutons tyrosine kinase	2.7.10.2
Bruton’s tyrosine kinase	2.7.10.2
Bs3-isopropylmalateDH	1.1.1.85
BsCM	5.4.99.5
BsIFTase	4.2.2.18
BsLcar	3.5.1.87
BsLuxS	4.4.1.21
BsTRpRS	6.1.1.2
BsUvrC	4.1.99.3
BsaAI	3.1.21.4
BsaBI	3.1.21.4
BsaHI	3.1.21.5
Bsamy-I	3.2.1.1
Bsas3	4.4.1.9
Bse634I	3.1.21.4
BsePI	3.1.21.4
BsmAI	3.1.21.4
BsmI	3.1.21.4
BsoBI	3.1.21.4
Bsp CI	3.1.21.4
Bsp-pdg	3.2.2.17
BspD6I	3.1.21.4
BspGI	3.1.21.4
BspHI	3.1.21.4
BspMI	3.1.21.4
BsrI	3.1.21.4
BssSI	3.1.21.4
BstCCA	2.7.7.21 / or / 2.7.7.25
BstEII	3.1.21.4
BstF5I	3.1.21.4
BstXI	3.1.21.4
BstYI	3.1.21.4
Bsu2413I	3.1.21.4
BsuTrz	3.1.26.11
Bt1 	2.7.9.3
BtChoEase	3.1.1.8
Btg-26	1.2.1.3
BthTX	3.1.1.4
BthTX-1	3.1.1.4
BthTX-I	3.1.1.4
BthTX-II	3.1.1.4
Btk	2.7.10.2
Btk tyrosine kinase	2.7.10.2
BtrN 	1.3.99.22
BtuCD	3.6.3.33
BtuCD-F 	3.6.3.33
BtuF	3.6.3.33
BtubB	3.6.5.6
Btx	3.2.1.8
Bu hydroxylase	1.14.11.1
BuA-induced protein phosphatase	3.1.3.16
BuChE	3.1.1.8
Buclamase	3.2.1.1
Bud2	4.1.1.50
BudA1	4.1.1.5
Buk	2.7.2.7
Buk2	2.7.2.14
BupB	1.13.11.2
Bur1	2.7.11.23
ButA	1.1.1.5
ButB	1.1.1.5
Butyraldehyde dehydrogenase	1.2.1.57
Butyryl-CoA dehydrogenase	1.3.99.2
Butyryl-CoA synthetase	6.2.1.2
Butyryl-coenzyme A synthetase	6.2.1.2
BvMTH	3.2.1.141
BvSAT	2.3.1.30
Bx-ENG-1	3.2.1.4
Bx-ENG-2	3.2.1.4
Bx-ENG-3	3.2.1.4
BxPEL1	4.2.2.2
BxPEL2	4.2.2.2
BzdA enzyme	6.2.1.25
C RNA formation factors	2.7.7.6
C(1)-tetrahydrofolate synthase 	6.3.4.3
C- I4 demethylase	1.14.13.70
C-12 lipoxygenase	1.13.11.31
C-14 reductase	1.3.1.70
C-14 sterol reductase	1.3.1.70
C-17,20 lyase	4.1.2.30
C-17/C-20 lyase	4.1.2.30
C-24 reductase	1.3.1.72
C-24 sterol methyltransferase	2.1.1.41
C-24(28) reductase	1.3.1.71
C-24(28) sterol reductase	1.3.1.71
C-4 methyl sterol oxidase	1.14.13.72
C-4 sterol methyl oxidase	1.14.13.72
C-5 sterol desaturase	1.14.21.6
C-5-Uronosylepimerase	5.1.3.12
C-5-lipoxygenase	1.13.11.34
C-8,7 sterol isomerase	5.3.3.5
C-ANCA antigen	3.4.21.76
C-CGTase	2.4.1.19
C-DES	4.4.1.8
C-FES	2.7.10.2
C-P4H	1.14.11.2
C-P4H alpha subunit (III)	1.14.11.2
C-P4H alpha(I)	1.14.11.2
C-P4H alpha(III)	1.14.11.2
C-Raf	2.7.11.25
C-S lyase	4.4.1.4
C-S-lyase	4.4.1.1 / or / 4.4.1.4
C-S-lyase1	4.4.1.1
C-S-lyase2	4.4.1.1
C-S-lyase3	4.4.1.1
C-S-lyase4	4.4.1.1
C-SRC	2.7.10.1 / or / 2.7.10.2
C-SRC kinase	2.7.10.2
C-YES	2.7.10.2
C-acylphenol acylhydrolase	3.7.1.4
C-amidase 	3.5.1.4
C-esterase	3.1.1.6 / or / 3.1.1.72
C-hAGT	2.1.1.63
C-mer	2.7.10.1
C-ret	2.7.10.1
C-terminal Src kinase	2.7.10.2
C-terminal domain kinase	2.7.11.23
C-terminal domain of Uba4	2.8.1.B2     
C-terminal hydrolases UCHL3	3.4.19.12
C-terminal motor kinesin	3.6.4.5
C-terminal processing peptidase	3.4.21.102
C-terminal processing protease	3.4.21.102
C-terminal protease	3.4.21.102
C-terminal repeat domain kinase	2.7.11.23
C-terminal repeat domain kinase I	2.7.11.23
C-terminus of Hsp70 interacting protein	6.3.2.19
C01.010	3.4.22.B1
C01.017	3.4.22.67
C01.034	3.4.22.27
C01.074	3.4.22.B5
C02.022	3.4.22.B8
C06A1.1	3.6.4.6
C1 cellulase	3.2.1.150 / or / 3.2.1.91
C1 esterase	3.4.21.42
C1 synthase	6.3.4.3
C1-THF synthase	6.3.4.3
C1-THFS	6.3.4.3
C1-esterase	3.4.21.42
C1-tetrahydrofolate synthase	6.3.4.3
C1-tetrahydrofolate synthetase	6.3.4.3
C11	3.4.21.79
C12:0 ACP TE	3.1.2.14
C12:0-ACP thioesterase	3.1.2.21
C12D	1.13.11.1
C12O	1.13.11.1
C14	2.7.10.1
C14.001	3.4.22.36
C14.003	3.4.22.56
C14.004	3.4.22.60 / or / 3.4.22.61
C14.005	3.4.22.59
C14.006	3.4.22.55
C14.007	3.4.22.57
C14.008	3.4.22.58
C14.010	3.4.22.62
C14.011	3.4.22.63
C14.012	3.4.22.64
C14SR	1.3.1.70
C16.001	3.4.22.B14
C17(20) lyase	4.1.2.30
C17,20 lyase	4.1.2.30
C17,20-lyase	4.1.2.30
C17:cyclopropane synthase	2.1.1.79
C18-CoA elongase	2.3.1.119
C18:1-ACP thioesterase	3.1.2.14
C197 legumain	3.4.22.34
C1A heparanase	3.2.1.B2
C1Bbeta 	2.7.11.13
C1GALT1	2.4.1.122
C1GalT	2.4.1.122
C1r	3.4.21.41
C1rbar-esterase	3.4.21.41
C1s	3.4.21.42
C1s protease	3.4.21.42
C2 toxin	3.4.24.69
C2,3O	1.13.11.2
C2-PI3K	2.7.1.154
C2-domain-containing phosphoinositide 3-kinase	2.7.1.154
C23D	1.13.11.2
C23o	1.13.11.2 / or / 1.13.11.39
C24(28) reductase	1.3.1.71
C24-SMT2	2.1.1.143
C24-methyltransferase	2.1.1.41
C24-sterol methyltransferase type 1	2.1.1.41
C24.001	3.4.22.B15
C25 farnesylgeranyl diphosphate synthase	2.5.1.B1
C27-side chain cleavage enzyme	1.14.15.6
C2A HTLV-1 PR 	3.4.23.B8
C2GlcNAcT-I	2.4.1.102
C2GlcNAcT-II	2.4.1.102
C2GlcNAcT-III	2.4.1.102
