1.14.13.93	(+)-abscisic acid 8'-hydroxylase
1.1.1.240	N-acetylhexosamine 1-dehydrogenase
2.7.1.162	N-acetylhexosamine 1-kinase
2.4.1.90	N-acetyllactosamine synthase
2.4.1.87	N-acetyllactosaminide 3-alpha-galactosyltransferase
2.4.99.6	N-acetyllactosaminide alpha-2,3-sialyltransferase
2.4.1.149	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase
2.4.1.150	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase
3.5.1.28	N-acetylmuramoyl-L-alanine amidase
2.3.1.44	N-acetylneuraminate 4-O-acetyltransferase
2.3.1.45	N-acetylneuraminate 7-O(or 9-O)-acetyltransferase
4.1.3.3	N-acetylneuraminate lyase
2.5.1.56	N-acetylneuraminate synthase
2.4.1.165	N-acetylneuraminylgalactosylglucosylceramidebeta-1,4-N-acetylgalactosaminyltransferase
2.1.3.9	N-acetylornithine carbamoyltransferase
1.1.3.29	N-acylhexosamine oxidase
1.1.1.233	N-acylmannosamine 1-dehydrogenase
2.7.1.60	N-acylmannosamine kinase
2.7.7.43	N-acylneuraminate cytidylyltransferase
3.1.3.29	N-acylneuraminate-9-phosphatase
2.5.1.57	N-acylneuraminate-9-phosphate synthase
2.4.1.47	N-acylsphingosine galactosyltransferase
2.1.1.105	N-benzoyl-4-hydroxyanthranilate 4-O-methyltransferase
3.5.1.58	N-benzyloxycarbonylglycine hydrolase
3.5.1.77	N-carbamoyl-D-amino-acid hydrolase
3.5.1.87	N-carbamoyl-L-amino-acid hydrolase
3.5.1.53	N-carbamoylputrescine amidase
3.5.1.59	N-carbamoylsarcosine amidase
3.5.1.71	N-feruloylglycine deacylase
3.5.1.68	N-formylglutamate deformylase
3.5.1.27	N-formylmethionylaminoacyl-tRNA deformylase
1.7.1.12	N-hydroxy-2-acetamidofluorene reductase
2.3.1.118	N-hydroxyarylamine O-acetyltransferase
2.4.1.195	N-hydroxythioamide S-beta-glucosyltransferase
3.5.99.4	N-isopropylammelide isopropylaminohydrolase
3.5.1.95	N-malonylurea hydrolase
3.2.2.25	N-methyl nucleosidase
3.5.1.36	N-methyl-2-oxoglutaramate hydrolase
1.5.3.2	N-methyl-L-amino-acid oxidase
1.4.1.17	N-methylalanine dehydrogenase
1.14.13.71	N-methylcoclaurine 3'-monooxygenase
3.5.2.14	N-methylhydantoinase (ATP-hydrolysing)
2.7.7.57	N-methylphosphoethanolamine cytidylyltransferase
3.5.1.91	N-substituted formamide deformylase
3.5.3.23	N-succinylarginine dihydrolase
2.1.3.11	N-succinylornithine carbamoyltransferase
3.10.1.1	N-sulfoglucosamine sulfohydrolase
3.1.6.15	N-sulfoglucosamine-3-sulfatase
1.5.3.B5 (preliminary BRENDA-supplied EC number)	N1-acetylpolyamine oxidase
2.5.1.66	N2-(2-carboxyethyl)arginine synthase
3.5.1.26	N4-(beta-N-acetylglucosaminyl)-L-asparaginase
1.5.1.24	N5-(carboxyethyl)ornithine synthase
2.6.1.65	N6-acetyl-beta-lysine transaminase
2.3.1.102	N6-hydroxylysine O-acetyltransferase
1.5.3.4	N6-methyl-lysine oxidase
1.5.3.B3 (preliminary BRENDA-supplied EC number)	N8-acetylspermidine oxidase (propane-1,3-diamine-forming)
2.7.1.B1 (preliminary BRENDA-supplied EC number)	NAD kinase
3.2.2.6	NAD(P)+ nucleosidase
1.6.1.2	NAD(P)+ transhydrogenase (AB-specific)
1.6.1.1	NAD(P)+ transhydrogenase (B-specific)
1.6.5.2 ()	NAD(P)H dehydrogenase (quinone)
1.6.3.1	NAD(P)H oxidase
2.4.2.30	NAD+ ADP-ribosyltransferase
3.6.1.22	NAD+ diphosphatase
2.7.1.23	NAD+ kinase
3.2.2.5	NAD+ nucleosidase
6.3.1.5	NAD+ synthase
6.3.5.1	NAD+ synthase (glutamine-hydrolysing)
2.4.2.37	NAD+-dinitrogen-reductase ADP-D-ribosyltransferase
2.4.2.36	NAD+-diphthamide ADP-ribosyltransferase
2.4.2.31	NAD+-protein-arginine ADP-ribosyltransferase
1.6.99.3	NADH dehydrogenase
1.6.99.5	NADH dehydrogenase (quinone)
1.6.5.3	NADH dehydrogenase (ubiquinone)
2.7.1.86	NADH kinase
1.11.1.1	NADH peroxidase
1.1.1.B5 (preliminary BRENDA-supplied EC number. The enzyme is distinct from EC 1.1.1.105 since it is specific for NADPH as a cofactor)	NADP-retinol dehydrogenase
1.6.99.1	NADPH dehydrogenase
1.6.99.6	NADPH dehydrogenase (quinone)
1.11.1.2	NADPH peroxidase
1.6.2.5	NADPH-cytochrome-c2 reductase
1.6.2.4	NADPH-hemoprotein reductase
1.6.5.5	NADPH:quinone reductase
2.4.1.242	NDP-glucose-starch glucosyltransferase
3.2.2.14	NMN nucleosidase
3.6.3.7	Na+-exporting ATPase
3.6.3.15	Na+-transporting two-sector ATPase
3.6.3.9	Na+/K+-exchanging ATPase
3.5.1.64	Nalpha-benzyloxycarbonylleucine hydrolase
1.7.1.2	Nitrate reductase [NAD(P)H]
5.1.1.14	Nocardicin-A epimerase
2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase
2.1.1.38	O-demethylpuromycin O-methyltransferase
2.4.1.222	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
2.5.1.65	O-phosphoserine sulfhydrylase
6.1.1.B2 (preliminary BRENDA-supplied EC number)	O-phosphoseryl-tRNA ligase
3.4.24.57	O-sialoglycoprotein endopeptidase
6.2.1.26	O-succinylbenzoate-CoA ligase
6.2.1.B1 (preliminary BRENDA-supplied EC number)	O-succinylbenzoate-CoA ligase (ADP-forming)
6.2.1.B3 (preliminary BRENDA-supplied EC number)	OPC-8:CoA ligase
4.2.1.53	Oleate hydratase
3.4.21.83	Oligopeptidase B
1.5.1.28	Opine dehydrogenase
1.13.12.13	Oplophorus-luciferin 2-monooxygenase
4.1.1.17	Ornithine decarboxylase
5.1.1.12	Ornithine racemase
4.1.1.23	Orotidine-5'-phosphate decarboxylase
4.1.1.58	Orsellinate decarboxylase
3.4.21.63	Oryzin
4.1.1.2	Oxalate decarboxylase
6.2.1.8	Oxalate-CoA ligase
4.1.1.3	Oxaloacetate decarboxylase
4.1.3.13	Oxalomalate lyase
4.1.1.8	Oxalyl-CoA decarboxylase
3.4.21.B25 (preliminary BRENDA-supplied EC number)	PACE4 proprotein convertase
3.4.24.B15 (preliminary BRENDA-supplied EC number)	PHEX peptidase
3.4.21.71	Pancreatic elastase II
3.4.21.70	Pancreatic endopeptidase E
6.3.2.1	Pantoate-beta-alanine ligase
3.4.23.20	Penicillopepsin
3.4.11.23	PepB aminopeptidase
3.4.15.4	Peptidyl-dipeptidase B
3.4.15.5	Peptidyl-dipeptidase Dcp
5.2.1.8	Peptidylprolyl isomerase
3.4.22.B20 (preliminary BRENDA-supplied EC number)	PfpI endopeptidase
4.1.1.53	Phenylalanine decarboxylase
5.1.1.11	Phenylalanine racemase (ATP-hydrolysing)
6.1.1.20	Phenylalanine-tRNA ligase
4.1.1.43	Phenylpyruvate decarboxylase
5.3.2.1	Phenylpyruvate tautomerase
4.1.2.26	Phenylserine aldolase
4.1.2.9	Phosphoketolase
1.13.12.7	Photinus-luciferin 4-monooxygenase (ATP-hydrolysing)
3.5.1.79	Phthalyl amidase
3.1.26.1	Physarum polycephalum ribonuclease
6.2.1.24	Phytanate-CoA ligase
3.4.23.40	Phytepsin
2.3.1.149	Platelet-activating factor acetyltransferase
3.4.23.29	Polyporopepsin
2.1.1.130	Precorrin-2 C20-methyltransferase
2.1.1.131	Precorrin-3B C17-methyltransferase
2.1.1.133	Precorrin-4 C11-methyltransferase
2.1.1.132	Precorrin-6Y C5,15-methyltransferase (decarboxylating)
5.4.1.2	Precorrin-8X methylmutase
3.4.23.17	Pro-opiomelanocortin converting enzyme
5.1.1.4	Proline racemase
6.1.1.15	Proline-tRNA ligase
6.2.1.17	Propionate-CoA ligase
6.4.1.3	Propionyl-CoA carboxylase
3.4.21.93	Proprotein convertase 1
5.3.99.2	Prostaglandin-D synthase
3.4.21.69	Protein C (activated)
5.3.4.1	Protein disulfide-isomerase
5.1.1.16	Protein-serine epimerase
4.2.1.73	Protoaphin-aglucone dehydratase (cyclizing)
4.1.1.63	Protocatechuate decarboxylase
1.14.13.55	Protopine 6-monooxygenase
1.9.3.2 (Transferred to EC 1.7.2.1, nitrite reductase (NO-forming))	Pseudomonas cytochrome oxidase
3.4.23.30	Pycnoporopepsin
4.2.1.50	Pyrazolylalanine synthase
6.4.1.1	Pyruvate carboxylase
4.1.1.1	Pyruvate decarboxylase
1.3.99.18	Quinaldate 4-oxidoreductase
1.3.99.17	Quinoline 2-oxidoreductase
1.3.99.19	Quinoline-4-carboxylate 2-oxidoreductase
4.2.3.26	R-linalool synthase
4.1.99.B3 (preliminary BRENDA-supplied EC number)	R-specific spore photoproduct lyase
3.4.99.B1 (preliminary BRENDA-supplied EC number)	RCE1
3.6.4.B3 (preliminary BRENDA-supplied EC number)	RNA helicase
6.5.1.3	RNA ligase (ATP)
2.7.7.52	RNA uridylyltransferase
6.5.1.4	RNA-3'-phosphate cyclase
2.7.7.49	RNA-directed DNA polymerase
2.7.7.48	RNA-directed RNA polymerase
1.13.12.5	Renilla-luciferin 2-monooxygenase
2.8.2.10	Renilla-luciferin sulfotransferase
3.4.21.88	Repressor LexA
5.2.1.3	Retinal isomerase
5.2.1.7	Retinol isomerase
4.1.2.19	Rhamnulose-1-phosphate aldolase
3.4.23.21	Rhizopuspepsin
3.4.23.26	Rhodotorulapepsin
3.1.27.8	Ribonuclease V
5.3.1.20	Ribose isomerase
5.3.1.6	Ribose-5-phosphate isomerase
6.3.4.7	Ribose-5-phosphate-ammonia ligase
4.1.1.39	Ribulose-bisphosphate carboxylase
5.1.3.1	Ribulose-phosphate 3-epimerase
3.4.23.B10 (preliminary BRENDA-supplied EC number)	Rous sarcoma virus retropepsin
1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase
4.4.1.22	S-(hydroxymethyl)glutathione synthase
3.5.4.28	S-adenosylhomocysteine deaminase
4.4.1.6	S-alkylcysteine lyase
4.5.1.5	S-carboxymethylcysteine synthase
3.1.2.12	S-formylglutathione hydrolase
4.2.3.25	S-linalool synthase
2.4.2.28	S-methyl-5'-thioadenosine phosphorylase
2.7.1.100	S-methyl-5-thioribose kinase
5.3.1.23	S-methyl-5-thioribose-1-phosphate isomerase
4.4.1.21	S-ribosylhomocysteine lyase
4.1.99.B1 (preliminary BRENDA-supplied EC number)	S-specific spore photoproduct lyase
3.1.2.13	S-succinylglutathione hydrolase
3.4.24.85	S2P endopeptidase
3.4.22.B16 (preliminary BRENDA-supplied EC number)	SARS coronavirus main proteinase
3.4.23.25	Saccharopepsin
2.3.1.150	Salutaridinol 7-O-acetyltransferase
3.4.21.60	Scutelarin
3.4.23.31	Scytalidopepsin A
3.4.23.32	Scytalidopepsin B
6.1.1.11	Serine-tRNA ligase
3.1.30.2	Serratia marcescens nuclease
3.4.21.89	Signal peptidase I
3.4.23.36	Signal peptidase II
3.4.23.B2 (preliminary BRENDA-supplied EC number)	Simian immunodeficiency virus proteinase
3.4.21.95	Snake venom factor V activator
4.1.2.27	Sphinganine-1-phosphate aldolase
3.4.21.116	SpoIVB peptidase
3.4.24.84	Ste24 endopeptidase
3.4.22.32	Stem bromelain
4.1.1.60	Stipitatonate decarboxylase
3.4.21.80	Streptogrisin A
3.4.21.81	Streptogrisin B
1.5.1.22	Strombine dehydrogenase
3.4.21.62	Subtilisin
6.2.1.5	Succinate-CoA ligase (ADP-forming)
4.1.1.29	Sulfinoalanine decarboxylase
2.7.4.12	T2-induced deoxynucleotide kinase
4.1.2.40	Tagatose-bisphosphate aldolase
5.1.2.5	Tartrate epimerase
4.1.1.47	Tartronate-semialdehyde synthase
1.5.1.23	Tauropine dehydrogenase
1.14.12.15	Terephthalate 1,2-dioxygenase
5.5.1.3	Tetrahydroxypteridine cycloisomerase
3.4.21.66	Thermitase
3.4.21.65	Thermomycolin
5.99.1.1	Thiocyanate isomerase
4.1.2.5	Threonine aldolase
5.1.1.6	Threonine racemase
6.1.1.3	Threonine-tRNA ligase
5.3.99.5	Thromboxane-A synthase
3.4.21.90	Togavirin
3.4.22.B8 (preliminary BRENDA-supplied EC number)	Tpr proteinase (Porphyromonas gingivalis)
5.3.1.1	Triose-phosphate isomerase
6.3.1.9	Trypanothione synthase
3.4.21.59	Tryptase
6.1.1.2	Tryptophan-tRNA ligase
6.3.2.25	Tubulin-tyrosine ligase
4.1.1.25	Tyrosine decarboxylase
6.1.1.1	Tyrosine-tRNA ligase
5.1.3.23	UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase
2.6.1.34	UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose transaminase
2.3.1.B6 (preliminary BRENDA-supplied EC number)	UDP-D-GlcNAc3NA 3-N-acetyltransferase
2.8.2.7	UDP-N-acetylgalactosamine-4-sulfate sulfotransferase
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
5.1.3.14	UDP-N-acetylglucosamine 2-epimerase
4.2.1.115	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
5.1.3.7	UDP-N-acetylglucosamine 4-epimerase
1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase
2.7.7.23	UDP-N-acetylglucosamine diphosphorylase
2.7.8.15	UDP-N-acetylglucosamine-dolichyl-phosphateN-acetylglucosaminephosphotransferase
2.7.8.17	UDP-N-acetylglucosamine-lysosomal-enzymeN-acetylglucosaminephosphotransferase
1.1.1.158	UDP-N-acetylmuramate dehydrogenase
6.3.2.8	UDP-N-acetylmuramate-L-alanine ligase
6.3.2.9	UDP-N-acetylmuramoyl-L-alanine-D-glutamate ligase
6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-2,6-diaminopimelate ligase
6.3.2.7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase
6.3.2.10	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase
2.3.2.10	UDP-N-acetylmuramoylpentapeptide-lysine N6-alanyltransferase
5.1.3.5	UDP-arabinose 4-epimerase
5.4.99.9	UDP-galactopyranose mutase
2.7.8.18	UDP-galactose-UDP-N-acetylglucosamine galactose phosphotransferase
4.1.1.67	UDP-galacturonate decarboxylase
5.1.3.16	UDP-glucosamine 4-epimerase
4.2.1.76	UDP-glucose 4,6-dehydratase
5.1.3.2	UDP-glucose 4-epimerase
1.1.1.22	UDP-glucose 6-dehydrogenase
2.7.8.19	UDP-glucose-glycoprotein glucose phosphotransferase
2.7.7.12	UDP-glucose-hexose-1-phosphate uridylyltransferase
5.1.3.6	UDP-glucuronate 4-epimerase
5.1.3.12	UDP-glucuronate 5'-epimerase
4.1.1.35	UDP-glucuronate decarboxylase
3.6.1.45	UDP-sugar diphosphatase
3.13.1.1	UDP-sulfoquinovose synthase
2.7.4.22	UMP kinase
2.7.7.9	UTP-glucose-1-phosphate uridylyltransferase
2.7.7.10	UTP-hexose-1-phosphate uridylyltransferase
2.7.7.64	UTP-monosaccharide-1-phosphate uridylyltransferase
2.7.7.11	UTP-xylose-1-phosphate uridylyltransferase
6.3.2.19	Ubiquitin-protein ligase
3.4.22.68 ()	Ulp1 peptidase
3.4.21.B30 (preliminary BRENDA-supplied EC number)	UmuD protein
4.1.1.66	Uracil-5-carboxylate decarboxylase
6.3.4.6	Urea carboxylase
4.2.1.49	Urocanate hydratase
4.1.1.37	Uroporphyrinogen decarboxylase
3.4.22.50	V-cath endopeptidase
6.1.1.9	Valine-tRNA ligase
3.4.21.74	Venombin A
3.4.21.55	Venombin AB
1.13.12.8	Watasenia-luciferin 2-monooxygenase
3.4.13.4	Xaa-Arg dipeptidase
3.4.13.3	Xaa-His dipeptidase
3.4.11.9	Xaa-Pro aminopeptidase
3.4.13.9	Xaa-Pro dipeptidase
3.4.14.11	Xaa-Pro dipeptidyl-peptidase
3.4.11.16	Xaa-Trp aminopeptidase
3.4.14.12	Xaa-Xaa-Pro tripeptidyl-peptidase
3.4.13.5	Xaa-methyl-His dipeptidase
5.3.1.5	Xylose isomerase
3.4.22.B19 (preliminary BRENDA-supplied EC number)	YopJ protease
2.5.1.68	Z-farnesyl diphosphate synthase
3.4.17.14	Zinc D-Ala-D-Ala carboxypeptidase
3.6.3.5	Zn2+-exporting ATPase
2.7.11.4	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase
3.1.3.52	[3-methyl-2-oxobutanoate dehydrogenase(2-methylpropanoyl-transferring)]-phosphatase
2.7.11.5	[Isocitrate dehydrogenase (NADP+)] kinase
2.7.11.23	[RNA-polymerase]-subunit kinase
2.4.1.229	[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase
2.7.11.27	[acetyl-CoA carboxylase] kinase
3.1.3.44	[acetyl-CoA carboxylase]-phosphatase
2.3.1.38	[acyl-carrier-protein] S-acetyltransferase
2.3.1.39	[acyl-carrier-protein] S-malonyltransferase
3.1.4.14	[acyl-carrier-protein] phosphodiesterase
6.2.1.22	[citrate (pro-3S)-lyase] ligase
2.1.1.124	[cytochrome c]-arginine N-methyltransferase
2.1.1.59	[cytochrome c]-lysine N-methyltransferase
2.1.1.123	[cytochrome-c]-methionine S-methyltransferase
1.97.1.4	[formate-C-acetyltransferase]-activating enzyme
2.7.7.42	[glutamate-ammonia-ligase] adenylyltransferase
3.1.3.42	[glycogen-synthase-D] phosphatase
2.8.2.23	[heparan sulfate]-glucosamine 3-sulfotransferase 1
2.8.2.29	[heparan sulfate]-glucosamine 3-sulfotransferase 2
2.8.2.30	[heparan sulfate]-glucosamine 3-sulfotransferase 3
2.8.2.8	[heparan sulfate]-glucosamine N-sulfotransferase
1.14.11.27	[histone-H3]-lysine-36 demethylase
1.14.11.B1 (preliminary BRENDA-supplied EC number)	[histone-H3]-lysine-4-demethylase
1.14.11.B2 (preliminary BRENDA-supplied EC number)	[histone-H3]-lysine-9-demethylase
2.7.11.31	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase
3.1.3.47	[hydroxymethylglutaryl-CoA reductase (NADPH)]-phosphatase
1.16.1.8	[methionine synthase] reductase
2.1.1.126	[myelin basic protein]-arginine N-methyltransferase
2.3.1.100	[myelin-proteolipid] O-palmitoyltransferase
3.1.3.53	[myosin-light-chain] phosphatase
3.1.3.17	[phosphorylase] phosphatase
3.2.2.19	[protein ADP-ribosylarginine] hydrolase
2.7.7.59	[protein-PII] uridylyltransferase
2.7.11.2	[pyruvate dehydrogenase (acetyl-transferring)] kinase
3.1.3.43	[pyruvate dehydrogenase (acetyl-transferring)]-phosphatase
3.1.3.49	[pyruvate kinase]-phosphatase
2.1.1.127	[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase
2.7.11.6	[tyrosine 3-monooxygenase] kinase
2.4.1.60	abequosyltransferase
1.2.1.74	abietadienal dehydrogenase
1.14.13.108	abietadiene hydroxylase
4.2.3.18	abietadiene synthase
1.14.13.109	abietadienol hydroxylase
1.2.3.14	abscisic-aldehyde oxidase
1.2.1.10	acetaldehyde dehydrogenase (acetylating)
2.8.3.8	acetate CoA-transferase
2.7.2.1	acetate kinase
2.7.2.12	acetate kinase (diphosphate)
3.1.2.11	acetoacetyl-CoA hydrolase
1.1.1.36	acetoacetyl-CoA reductase
1.1.1.5	acetoin dehydrogenase
2.2.1.4	acetoin-ribose-5-phosphate transaldolase
2.2.1.6	acetolactate synthase
6.4.1.6	acetone carboxylase
3.1.1.54	acetoxybutynylbithiophene deacetylase
2.3.1.9	acetyl-CoA C-acetyltransferase
2.3.1.16	acetyl-CoA C-acyltransferase
2.3.1.155	acetyl-CoA C-myristoyltransferase
3.1.2.1	acetyl-CoA hydrolase
2.3.1.187	acetyl-S-ACP:malonate ACP transferase
1.13.11.50	acetylacetone-cleaving enzyme
3.1.1.80	acetylajmaline esterase
3.1.1.7	acetylcholinesterase
3.5.1.B4 (preliminary BRENDA-supplied EC number)	acetylcitrulline deacetylase
4.2.1.112	acetylene hydratase
4.2.1.27	acetylenecarboxylate hydratase
4.1.1.78	acetylenedicarboxylate decarboxylase
3.1.1.6	acetylesterase
2.4.1.147	acetylgalactosaminyl-O-glycosyl-glycoproteinbeta-1,3-N-acetylglucosaminyltransferase
2.4.1.148	acetylgalactosaminyl-O-glycosyl-glycoproteinbeta-1,6-N-acetylglucosaminyltransferase
2.7.2.8	acetylglutamate kinase
1.7.3.2	acetylindoxyl oxidase
3.5.1.16	acetylornithine deacetylase
2.6.1.11	acetylornithine transaminase
3.5.1.62	acetylputrescine deacetylase
3.7.1.6	acetylpyruvate hydrolase
3.1.1.55	acetylsalicylate deacetylase
2.1.1.4	acetylserotonin O-methyltransferase
3.5.1.48	acetylspermidine deacetylase
3.1.3.2	acid phosphatase
1.13.11.53	acireductone dioxygenase (Ni2+-requiring)
1.13.11.54	acireductone dioxygenase [iron(II)-requiring]
3.1.3.77	acireductone synthase
5.3.3.7	aconitate DELTA-isomerase
4.2.1.3	aconitate hydratase
2.3.1.159	acridone synthase
3.4.21.10	acrosin
3.4.22.14	actinidain
3.1.1.39	actinomycin lactonase
3.5.1.70	aculeacin-A deacylase
1.3.99.3	acyl-CoA dehydrogenase
1.3.1.8	acyl-CoA dehydrogenase (NADP+)
3.1.2.20	acyl-CoA hydrolase
1.3.3.6	acyl-CoA oxidase
1.14.19.2	acyl-[acyl-carrier-protein] desaturase
2.3.1.129	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
2.3.1.40	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase
3.5.1.97 ()	acyl-homoserine-lactone acylase
2.3.1.184 ()	acyl-homoserine-lactone synthase
3.5.1.17	acyl-lysine deacylase
2.7.1.61	acyl-phosphate-hexose phosphotransferase
3.5.1.40	acylagmatine amidase
3.4.19.1	acylaminoacyl-peptidase
3.1.1.28	acylcarnitine hydrolase
2.7.1.94	acylglycerol kinase
3.1.1.23	acylglycerol lipase
1.1.1.101	acylglycerone-phosphate reductase
3.1.1.77	acyloxyacyl hydrolase
3.6.1.7	acylphosphatase
3.7.1.5	acylpyruvate hydrolase
3.4.24.46	adamalysin
3.4.22.39	adenain
3.5.4.2	adenine deaminase
2.4.2.7	adenine phosphoribosyltransferase
3.5.4.4	adenosine deaminase
2.7.1.20	adenosine kinase
3.2.2.7	adenosine nucleosidase
3.5.4.17	adenosine-phosphate deaminase
3.6.1.14	adenosine-tetraphosphatase
3.6.1.3	adenosinetriphosphatase
2.5.1.63	adenosyl-fluoride synthase
3.5.1.90	adenosylcobinamide hydrolase
2.7.1.156	adenosylcobinamide kinase
2.7.8.26	adenosylcobinamide-GDP ribazoletransferase
2.7.7.62	adenosylcobinamide-phosphate guanylyltransferase
6.3.1.10	adenosylcobinamide-phosphate synthase
6.3.5.10	adenosylcobyric acid synthase (glutamine-hydrolysing)
3.3.1.1	adenosylhomocysteinase
3.2.2.9	adenosylhomocysteine nucleosidase
2.5.1.4	adenosylmethionine cyclotransferase
4.1.1.50	adenosylmethionine decarboxylase
3.3.1.2	adenosylmethionine hydrolase
2.6.1.62	adenosylmethionine-8-amino-7-oxononanoate transaminase
4.6.1.1	adenylate cyclase
2.5.1.27	adenylate dimethylallyltransferase
2.7.4.3	adenylate kinase
4.3.2.2	adenylosuccinate lyase
3.1.4.15	adenylyl-[glutamate-ammonia ligase] hydrolase
2.7.1.25	adenylyl-sulfate kinase
1.8.99.2	adenylyl-sulfate reductase
1.8.4.9	adenylyl-sulfate reductase (glutathione)
1.8.4.10	adenylyl-sulfate reductase (thioredoxin)
3.6.2.1	adenylylsulfatase
2.7.7.51	adenylylsulfate-ammonia adenylyltransferase
6.3.2.27	aerobactin synthase
2.3.2.9	agaritine gamma-glutamyltransferase
3.5.3.11	agmatinase
2.3.1.64	agmatine N4-coumaroyltransferase
3.5.3.12	agmatine deiminase
2.7.3.10	agmatine kinase
3.4.17.6	alanine carboxypeptidase
1.4.1.1	alanine dehydrogenase
2.6.1.2	alanine transaminase
2.6.1.44	alanine-glyoxylate transaminase
2.6.1.12	alanine-oxo-acid transaminase
2.6.1.47	alanine-oxomalonate transaminase
2.3.2.11	alanylphosphatidylglycerol synthase
1.14.13.32	albendazole monooxygenase
2.3.1.84	alcohol O-acetyltransferase
1.1.1.1	alcohol dehydrogenase
1.1.1.2	alcohol dehydrogenase (NADP+)
1.1.99.8	alcohol dehydrogenase (acceptor)
1.1.1.71	alcohol dehydrogenase [NAD(P)+]
1.1.3.13	alcohol oxidase
2.8.2.2	alcohol sulfotransferase
1.2.99.7	aldehyde dehydrogenase (FAD-independent)
1.2.1.3	aldehyde dehydrogenase (NAD+)
1.2.1.4	aldehyde dehydrogenase (NADP+)
1.2.99.3	aldehyde dehydrogenase (pyrroloquinoline-quinone)
1.2.1.5	aldehyde dehydrogenase [NAD(P)+]
1.2.7.5	aldehyde ferredoxin oxidoreductase
1.2.3.1	aldehyde oxidase
1.1.1.21	aldehyde reductase
1.1.3.41	alditol oxidase
4.2.1.110	aldos-2-ulose dehydratase
1.1.1.121	aldose 1-dehydrogenase
2.4.1.162	aldose beta-D-fructosyltransferase
2.7.7.36	aldose-1-phosphate adenylyltransferase
2.7.7.37	aldose-1-phosphate nucleotidyltransferase
1.1.1.200	aldose-6-phosphate reductase (NADPH)
2.4.1.33	alginate synthase
4.99.1.5	aliphatic aldoxime dehydratase
2.4.1.103	alizarin 2-beta-glucosyltransferase
3.1.3.1	alkaline phosphatase
1.1.99.20	alkan-1-ol dehydrogenase (acceptor)
1.14.14.3	alkanal monooxygenase (FMN-linked)
1.14.15.3	alkane 1-monooxygenase
1.14.14.5	alkanesulfonate monooxygenase
1.14.13.69	alkene monooxygenase
3.3.2.2	alkenylglycerophosphocholine hydrolase
3.3.2.5	alkenylglycerophosphoethanolamine hydrolase
3.1.3.59	alkylacetylglycerophosphatase
3.5.1.39	alkylamidase
2.7.1.93	alkylglycerol kinase
2.7.1.84	alkylglycerone kinase
2.5.1.26	alkylglycerone-phosphate synthase
2.3.1.105	alkylglycerophosphate 2-O-acetyltransferase
3.1.4.39	alkylglycerophosphoethanolamine phosphodiesterase
3.8.1.1	alkylhalidase
4.99.1.2	alkylmercury lyase
1.3.99.23	all-trans-retinol 13,14-reductase
3.1.1.64	all-trans-retinyl-palmitate hydrolase
3.5.3.9	allantoate deiminase
3.5.3.4	allantoicase
3.5.2.5	allantoinase
4.4.1.4	alliin lyase
3.5.1.54	allophanate hydrolase
2.7.1.55	allose kinase
1.1.1.54	allyl-alcohol dehydrogenase
3.2.1.93	alpha,alpha-phosphotrehalase
3.2.1.28	alpha,alpha-trehalase
2.4.1.64	alpha,alpha-trehalose phosphorylase
2.4.1.231	alpha,alpha-trehalose phosphorylase (configuration-retaining)
2.4.1.245 ()	alpha,alpha-trehalose synthase
2.4.1.36	alpha,alpha-trehalose-phosphate synthase (GDP-forming)
2.4.1.15	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
2.4.1.183	alpha-1,3-glucan synthase
2.4.1.101	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
2.4.1.145	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
2.4.1.B3 (preliminary BRENDA-supplied EC number)	alpha-1,4-glucan synthase
2.4.1.113	alpha-1,4-glucan-protein synthase (ADP-forming)
2.4.1.143	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
2.4.1.201	alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
2.4.1.155	alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase
3.2.1.51	alpha-L-fucosidase
